 Height(km) hr_clear(K/day)  hr_allsky(K/day)  cf (K/day)
14.50  -0.2497  -0.1507   0.1119
14.60  -0.2069  -0.1077   0.1099
14.70  -0.1672  -0.0677   0.1083
14.80  -0.1310  -0.0308   0.1071
14.90  -0.0987   0.0008   0.1048
15.00  -0.0707   0.0287   0.1033
15.10  -0.0473   0.0514   0.1014
15.20  -0.0284   0.0681   0.0982
15.30  -0.0153   0.0786   0.0949
15.40  -0.0058   0.0842   0.0905
15.50   0.0062   0.0933   0.0870
15.60   0.0224   0.1073   0.0839
15.70   0.0408   0.1240   0.0813
15.80   0.0600   0.1409   0.0781
15.90   0.0795   0.1581   0.0747
16.00   0.1001   0.1760   0.0709
16.10   0.1216   0.1945   0.0667
16.20   0.1428   0.2119   0.0619
16.30   0.1607   0.2257   0.0569
16.40   0.1751   0.2349   0.0509
16.50   0.1896   0.2443   0.0450
16.60   0.2019   0.2513   0.0390
16.70   0.2054   0.2481   0.0322
16.80   0.2085   0.2448   0.0256
16.90   0.2153   0.2452   0.0189
17.00   0.2185   0.2415   0.0118
17.10   0.2176   0.2342   0.0056
17.20   0.2155   0.2268   0.0004
17.30   0.2133   0.2192  -0.0050
17.40   0.2102   0.2116  -0.0092
17.50   0.2055   0.2025  -0.0134
17.60   0.1998   0.1931  -0.0169
17.70   0.1938   0.1840  -0.0197
17.80   0.1876   0.1747  -0.0225
17.90   0.1811   0.1657  -0.0246
18.00   0.1740   0.1566  -0.0264
18.10   0.1666   0.1474  -0.0278
18.20   0.1590   0.1382  -0.0291
18.30   0.1506   0.1283  -0.0301
18.40   0.1418   0.1182  -0.0311
18.50   0.1351   0.1102  -0.0320
18.60   0.1280   0.1020  -0.0327
18.70   0.1126   0.0854  -0.0331
18.80   0.0925   0.0640  -0.0334
18.90   0.0746   0.0451  -0.0335
19.00   0.0577   0.0272  -0.0336
19.10   0.0406   0.0091  -0.0338
19.20   0.0243  -0.0081  -0.0340
19.30   0.0098  -0.0234  -0.0341
19.40  -0.0031  -0.0371  -0.0343
19.50  -0.0151  -0.0498  -0.0344
19.60  -0.0262  -0.0616  -0.0346
19.70  -0.0360  -0.0721  -0.0349
19.80  -0.0441  -0.0808  -0.0351
19.90  -0.0506  -0.0879  -0.0353
20.00  -0.0558  -0.0936  -0.0356
20.10  -0.0598  -0.0981  -0.0358
20.20  -0.0627  -0.1014  -0.0361
20.30  -0.0645  -0.1035  -0.0363
20.40  -0.0655  -0.1048  -0.0366
20.50  -0.0662  -0.1058  -0.0367
20.60  -0.0665  -0.1062  -0.0368
20.70  -0.0685  -0.1082  -0.0367
20.80  -0.0729  -0.1126  -0.0364
20.90  -0.0780  -0.1175  -0.0361
21.00  -0.0829  -0.1223  -0.0358
21.10  -0.0875  -0.1268  -0.0354
21.20  -0.0918  -0.1309  -0.0351
21.30  -0.0958  -0.1347  -0.0347
21.40  -0.0994  -0.1381  -0.0344
21.50  -0.1027  -0.1412  -0.0340
21.60  -0.1054  -0.1437  -0.0336
21.70  -0.1074  -0.1453  -0.0333
21.80  -0.1083  -0.1459  -0.0329
21.90  -0.1087  -0.1459  -0.0325
22.00  -0.1086  -0.1453  -0.0321
22.10  -0.1078  -0.1439  -0.0316
