     height (km) solar hr (K/day)    IR hr (K/day)   Net hr (K/day)
15.50   0.2137  -0.0207   0.1933
15.60   0.1944  -0.0154   0.1790
15.70   0.1776  -0.0090   0.1687
15.80   0.1605   0.0022   0.1627
15.90   0.1453   0.0157   0.1610
16.00   0.1337   0.0173   0.1509
16.10   0.1215   0.0186   0.1401
16.20   0.1113   0.0159   0.1272
16.30   0.1008   0.0129   0.1135
16.40   0.0889   0.0125   0.1013
16.50   0.0785   0.0087   0.0871
16.60   0.0694   0.0034   0.0728
16.70   0.0601  -0.0070   0.0532
16.80   0.0528  -0.0136   0.0390
16.90   0.0453  -0.0212   0.0242
17.00   0.0391  -0.0374   0.0016
17.10   0.0334  -0.0454  -0.0121
17.20   0.0276  -0.0493  -0.0216
17.30   0.0235  -0.0551  -0.0315
17.40   0.0205  -0.0586  -0.0382
17.50   0.0178  -0.0615  -0.0438
17.60   0.0156  -0.0644  -0.0487
17.70   0.0141  -0.0685  -0.0543
17.80   0.0129  -0.0738  -0.0608
17.90   0.0115  -0.0758  -0.0643
18.00   0.0107  -0.0783  -0.0676
18.10   0.0102  -0.0816  -0.0714
18.20   0.0102  -0.0860  -0.0757
18.30   0.0106  -0.0897  -0.0790
18.40   0.0113  -0.0932  -0.0820
18.50   0.0118  -0.0967  -0.0848
18.60   0.0125  -0.0998  -0.0872
18.70   0.0131  -0.1021  -0.0889
18.80   0.0137  -0.1039  -0.0903
18.90   0.0141  -0.1057  -0.0915
19.00   0.0148  -0.1076  -0.0927
19.10   0.0154  -0.1095  -0.0940
19.20   0.0162  -0.1114  -0.0953
19.30   0.0168  -0.1133  -0.0964
19.40   0.0176  -0.1153  -0.0977
19.50   0.0184  -0.1174  -0.0989
19.60   0.0193  -0.1196  -0.1003
19.70   0.0202  -0.1219  -0.1016
19.80   0.0213  -0.1243  -0.1030
19.90   0.0222  -0.1266  -0.1044
20.00   0.0233  -0.1291  -0.1058
20.10   0.0244  -0.1316  -0.1072
20.20   0.0256  -0.1342  -0.1086
20.30   0.0267  -0.1367  -0.1099
20.40   0.0280  -0.1393  -0.1113
20.50   0.0294  -0.1419  -0.1125
20.60   0.0306  -0.1440  -0.1133
20.70   0.0316  -0.1449  -0.1134
20.80   0.0323  -0.1454  -0.1129
20.90   0.0332  -0.1456  -0.1123
21.00   0.0340  -0.1458  -0.1117
21.10   0.0349  -0.1461  -0.1112
21.20   0.0357  -0.1465  -0.1108
21.30   0.0367  -0.1469  -0.1102
21.40   0.0376  -0.1475  -0.1098
21.50   0.0386  -0.1482  -0.1095
21.60   0.0398  -0.1488  -0.1091
21.70   0.0409  -0.1497  -0.1088
