#of levels:        295
base height:     0.10933494
altitude (km)    pressure (hPa)  temperature (K)  water vapor mixing ratio (kg/kg) ozone mixing ratio(kg/kg)
       25.604562      22.6710       220.72257   2.4288546e-06   1.0093703e-05
       25.518464      22.9753       220.53985   2.4383966e-06   9.9258542e-06
       25.432440      23.2837       220.34599   2.4361273e-06   9.7601122e-06
       25.346491      23.5963       220.15620   2.4352481e-06   9.5857235e-06
       25.260618      23.9130       219.95271   2.4410261e-06   9.4152856e-06
       25.174827      24.2340       219.74218   2.4455407e-06   9.2470243e-06
       25.089114      24.5592       219.54870   2.5029302e-06   9.0746299e-06
       25.003476      24.8889       219.35570   2.5019974e-06   8.9037797e-06
       24.917920      25.2230       219.13601   2.4803989e-06   8.7273783e-06
       24.832448      25.5615       218.91671   2.4712554e-06   8.5567239e-06
       24.747062      25.9046       218.70190   2.4628935e-06   8.3872721e-06
       24.661758      26.2523       218.49618   2.4480464e-06   8.2245010e-06
       24.576536      26.6047       218.28161   2.4311828e-06   8.0515500e-06
       24.491400      26.9618       218.05221   2.4225143e-06   7.8914899e-06
       24.406351      27.3237       217.83730   2.4175376e-06   7.7268544e-06
       24.321386      27.6905       217.61961   2.4235049e-06   7.5690784e-06
       24.236502      28.0621       217.42652   2.4246245e-06   7.4086845e-06
       24.151692      28.4388       217.23867   2.4238482e-06   7.2493695e-06
       24.066958      28.8205       217.03362   2.4214323e-06   7.0945599e-06
       23.982305      29.2074       216.82601   2.4073988e-06   6.9320489e-06
       23.897737      29.5994       216.59224   2.4077171e-06   6.7804010e-06
       23.813259      29.9967       216.37095   2.4099423e-06   6.6268903e-06
       23.728867      30.3994       216.14836   2.4065678e-06   6.4733872e-06
       23.644565      30.8074       215.91419   2.4068244e-06   6.3224123e-06
       23.560354      31.2209       215.67823   2.4027805e-06   6.1735914e-06
       23.476232      31.6400       215.46049   2.4001881e-06   6.0253775e-06
       23.392196      32.0647       215.23440   2.3982964e-06   5.8810725e-06
       23.308246      32.4951       215.02314   2.3868276e-06   5.7337197e-06
       23.224382      32.9312       214.79748   2.3706426e-06   5.5945827e-06
       23.140604      33.3733       214.57447   2.3563241e-06   5.4602078e-06
       23.056914      33.8212       214.35366   2.3542604e-06   5.3221117e-06
       22.973310      34.2752       214.12670   2.3537996e-06   5.1876088e-06
       22.889795      34.7352       213.90147   2.3509860e-06   5.0532346e-06
       22.806371      35.2015       213.65924   2.3395291e-06   4.9214765e-06
       22.723044      35.6740       213.40487   2.3295477e-06   4.7898511e-06
       22.639813      36.1528       213.16900   2.3293073e-06   4.6615611e-06
       22.556674      36.6381       212.92846   2.3342749e-06   4.5365586e-06
       22.473627      37.1299       212.70051   2.3372164e-06   4.4149763e-06
       22.390671      37.6283       212.45763   2.3352925e-06   4.2955826e-06
       22.307807      38.1333       212.23418   2.3322052e-06   4.1776284e-06
       22.225031      38.6452       212.00126   2.3265838e-06   4.0616197e-06
       22.142345      39.1639       211.77881   2.3147992e-06   3.9468266e-06
       22.059751      39.6896       211.52999   2.2996045e-06   3.8315405e-06
       21.977253      40.2223       211.28484   2.2897182e-06   3.7190484e-06
       21.894850      40.7622       211.04055   2.2820070e-06   3.6083212e-06
       21.812542      41.3093       210.80165   2.2838954e-06   3.5027336e-06
       21.730324      41.8638       210.57431   2.2915293e-06   3.3999545e-06
       21.648194      42.4257       210.35408   2.2973763e-06   3.2983992e-06
       21.566151      42.9952       210.12470   2.2994378e-06   3.1983719e-06
       21.484198      43.5723       209.89820   2.3027045e-06   3.0992832e-06
       21.402333      44.1572       209.67234   2.3107893e-06   3.0022975e-06
       21.320557      44.7499       209.44122   2.3140346e-06   2.9053301e-06
       21.238875      45.3505       209.19258   2.3144456e-06   2.8096799e-06
       21.157293      45.9592       208.92908   2.3101534e-06   2.7159284e-06
       21.075816      46.5761       208.65885   2.3007008e-06   2.6264457e-06
       20.994441      47.2013       208.39815   2.2927979e-06   2.5384567e-06
       20.913166      47.8349       208.14853   2.2875035e-06   2.4540340e-06
       20.831987      48.4769       207.90520   2.2914648e-06   2.3703831e-06
       20.750907      49.1276       207.64326   2.2979670e-06   2.2888424e-06
       20.669931      49.7870       207.37062   2.3189202e-06   2.2077670e-06
       20.589064      50.4553       207.08955   2.3243812e-06   2.1278612e-06
       20.508299      51.1326       206.83436   2.3237809e-06   2.0518289e-06
       20.427636      51.8189       206.57400   2.3205079e-06   1.9740764e-06
       20.347081      52.5145       206.28442   2.3190763e-06   1.8987245e-06
       20.266640      53.2193       205.99053   2.3152870e-06   1.8259889e-06
       20.186311      53.9337       205.71294   2.3089997e-06   1.7563997e-06
       20.106088      54.6576       205.44157   2.2969408e-06   1.6898129e-06
       20.025971      55.3912       205.16774   2.2860232e-06   1.6243150e-06
       19.945960      56.1347       204.90549   2.2757557e-06   1.5616592e-06
       19.866048      56.8882       204.65190   2.2661516e-06   1.5003185e-06
       19.786238      57.6518       204.37518   2.2625796e-06   1.4402906e-06
       19.706539      58.4257       204.09522   2.2590905e-06   1.3794886e-06
       19.626954      59.2099       203.78767   2.2539482e-06   1.3204715e-06
       19.547489      60.0046       203.48554   2.2447590e-06   1.2630235e-06
       19.468143      60.8101       203.17261   2.2317500e-06   1.2069498e-06
       19.388919      61.6263       202.86242   2.2193060e-06   1.1521074e-06
       19.309817      62.4535       202.54492   2.2078705e-06   1.0992423e-06
       19.230845      63.2918       202.19883   2.2007287e-06   1.0473447e-06
       19.152006      64.1413       201.86259   2.1955875e-06   9.9633397e-07
       19.073299      65.0022       201.52629   2.1907588e-06   9.4802235e-07
       18.994719      65.8747       201.20571   2.1851436e-06   9.0207574e-07
       18.916264      66.7590       200.88617   2.1812811e-06   8.5715331e-07
       18.837936      67.6550       200.55847   2.1810148e-06   8.1319260e-07
       18.759737      68.5631       200.22220   2.1761835e-06   7.7099784e-07
       18.681673      69.4834       199.86878   2.1726828e-06   7.2907718e-07
       18.603746      70.4161       199.51644   2.1694009e-06   6.8944790e-07
       18.525958      71.3613       199.16233   2.1669276e-06   6.5141249e-07
       18.448305      72.3191       198.81809   2.1708678e-06   6.1471965e-07
       18.370791      73.2898       198.45207   2.1688397e-06   5.7906961e-07
       18.293421      74.2736       198.08494   2.1665818e-06   5.4545546e-07
       18.216190      75.2705       197.73240   2.1668659e-06   5.1359276e-07
       18.139099      76.2808       197.37297   2.1750413e-06   4.8327610e-07
       18.062152      77.3047       196.99303   2.1595792e-06   4.5393725e-07
       17.985350      78.3423       196.62501   2.1802255e-06   4.2620424e-07
       17.908688      79.3939       196.28287   2.1944471e-06   4.0005524e-07
