     height (km) solar hr (K/day)    IR hr (K/day)   Net hr (K/day)
15.50   0.2075   0.0258   0.2336
15.60   0.1899   0.0366   0.2264
15.70   0.1742   0.0463   0.2206
15.80   0.1581   0.0595   0.2177
15.90   0.1437   0.0743   0.2180
16.00   0.1326   0.0777   0.2103
16.10   0.1209   0.0788   0.1997
16.20   0.1107   0.0754   0.1861
16.30   0.1006   0.0705   0.1710
16.40   0.0888   0.0646   0.1533
16.50   0.0785   0.0586   0.1370
16.60   0.0694   0.0500   0.1195
16.70   0.0604   0.0349   0.0954
16.80   0.0527   0.0219   0.0745
16.90   0.0451   0.0095   0.0546
17.00   0.0390  -0.0073   0.0317
17.10   0.0333  -0.0200   0.0132
17.20   0.0276  -0.0280  -0.0003
17.30   0.0235  -0.0369  -0.0134
17.40   0.0206  -0.0432  -0.0228
17.50   0.0179  -0.0484  -0.0307
17.60   0.0155  -0.0535  -0.0380
17.70   0.0138  -0.0591  -0.0452
17.80   0.0126  -0.0657  -0.0530
17.90   0.0110  -0.0695  -0.0585
18.00   0.0101  -0.0732  -0.0630
18.10   0.0096  -0.0763  -0.0668
18.20   0.0097  -0.0804  -0.0707
18.30   0.0100  -0.0840  -0.0740
18.40   0.0105  -0.0877  -0.0772
18.50   0.0110  -0.0912  -0.0802
18.60   0.0117  -0.0942  -0.0825
18.70   0.0122  -0.0964  -0.0841
18.80   0.0127  -0.0981  -0.0854
18.90   0.0131  -0.0998  -0.0865
19.00   0.0138  -0.1015  -0.0877
19.10   0.0144  -0.1033  -0.0889
19.20   0.0151  -0.1051  -0.0902
19.30   0.0157  -0.1069  -0.0912
19.40   0.0164  -0.1088  -0.0924
19.50   0.0172  -0.1107  -0.0935
19.60   0.0180  -0.1128  -0.0948
19.70   0.0188  -0.1150  -0.0961
19.80   0.0198  -0.1172  -0.0974
19.90   0.0207  -0.1194  -0.0987
20.00   0.0217  -0.1217  -0.1000
20.10   0.0227  -0.1241  -0.1013
20.20   0.0238  -0.1265  -0.1026
20.30   0.0249  -0.1289  -0.1039
20.40   0.0261  -0.1314  -0.1052
20.50   0.0273  -0.1337  -0.1064
20.60   0.0285  -0.1357  -0.1072
20.70   0.0294  -0.1366  -0.1073
20.80   0.0301  -0.1371  -0.1068
20.90   0.0309  -0.1373  -0.1063
21.00   0.0317  -0.1375  -0.1057
21.10   0.0326  -0.1378  -0.1052
21.20   0.0333  -0.1381  -0.1048
21.30   0.0342  -0.1385  -0.1044
21.40   0.0351  -0.1390  -0.1039
21.50   0.0360  -0.1397  -0.1036
21.60   0.0371  -0.1403  -0.1033
21.70   0.0381  -0.1412  -0.1030
21.80   0.0392  -0.1421  -0.1028
21.90   0.0403  -0.1430  -0.1026
22.00   0.0416  -0.1440  -0.1025
22.10   0.0429  -0.1450  -0.1021
22.20   0.0443  -0.1459  -0.1016
22.30   0.0457  -0.1469  -0.1012
22.40   0.0471  -0.1480  -0.1009
22.50   0.0486  -0.1492  -0.1005
22.60   0.0502  -0.1504  -0.1002
22.70   0.0519  -0.1517  -0.0998
22.80   0.0536  -0.1529  -0.0994
22.90   0.0554  -0.1544  -0.0990
23.00   0.0571  -0.1557  -0.0986
23.10   0.0590  -0.1572  -0.0982
23.20   0.0609  -0.1587  -0.0978
23.30   0.0629  -0.1602  -0.0973
23.40   0.0649  -0.1617  -0.0968
23.50   0.0670  -0.1632  -0.0963
23.60   0.0691  -0.1648  -0.0957
23.70   0.0712  -0.1662  -0.0951
23.80   0.0733  -0.1677  -0.0944
23.90   0.0755  -0.1693  -0.0937
24.00   0.0778  -0.1708  -0.0930
24.10   0.0801  -0.1721  -0.0921
24.20   0.0823  -0.1734  -0.0911
24.30   0.0846  -0.1748  -0.0901
24.40   0.0869  -0.1761  -0.0891
24.50   0.0892  -0.1773  -0.0880
24.60   0.0916  -0.1784  -0.0868
24.70   0.0938  -0.1794  -0.0856
24.80   0.0961  -0.1804  -0.0842
24.90   0.0984  -0.1811  -0.0826
25.00   0.1007  -0.1817  -0.0810
25.10   0.1030  -0.1821  -0.0791
25.20   0.1052  -0.1825  -0.0772
25.30   0.1075  -0.1828  -0.0753
25.40   0.1097  -0.1831  -0.0733
25.50   0.1118  -0.1832  -0.0714
25.60   0.1141  -0.1834  -0.0693
25.70   0.1162  -0.1834  -0.0672
25.80   0.1182  -0.1835  -0.0652
25.90   0.1203  -0.1834  -0.0630
26.00   0.1224  -0.1833  -0.0609
26.10   0.1244  -0.1831  -0.0587
26.20   0.1264  -0.1829  -0.0565
26.30   0.1284  -0.1828  -0.0544
26.40   0.1305  -0.1827  -0.0522
26.50   0.1327  -0.1828  -0.0501
26.60   0.1350  -0.1829  -0.0479
26.70   0.1373  -0.1830  -0.0458
26.80   0.1395  -0.1831  -0.0436
26.90   0.1418  -0.1831  -0.0414
27.00   0.1441  -0.1831  -0.0392
27.10   0.1462  -0.1832  -0.0370
27.20   0.1484  -0.1831  -0.0347
27.30   0.1505  -0.1830  -0.0325
27.40   0.1526  -0.1828  -0.0302
27.50   0.1546  -0.1826  -0.0280
27.60   0.1566  -0.1823  -0.0257
27.70   0.1584  -0.1820  -0.0234
27.80   0.1604  -0.1817  -0.0212
