     height (km) solar hr (K/day)    IR hr (K/day)   Net hr (K/day)
15.50   0.0666   0.0124   0.0790
15.60   0.0593   0.0160   0.0755
15.70   0.0535   0.0175   0.0710
15.80   0.0482   0.0185   0.0666
15.90   0.0425   0.0194   0.0619
16.00   0.0378   0.0202   0.0580
16.10   0.0335   0.0188   0.0523
16.20   0.0295   0.0153   0.0448
16.30   0.0265   0.0110   0.0376
16.40   0.0230   0.0061   0.0291
16.50   0.0192   0.0022   0.0215
16.60   0.0167  -0.0020   0.0147
16.70   0.0139  -0.0069   0.0071
16.80   0.0118  -0.0113   0.0006
16.90   0.0105  -0.0155  -0.0050
17.00   0.0092  -0.0190  -0.0098
17.10   0.0079  -0.0230  -0.0152
17.20   0.0070  -0.0265  -0.0194
17.30   0.0062  -0.0291  -0.0229
17.40   0.0057  -0.0315  -0.0259
17.50   0.0053  -0.0335  -0.0281
17.60   0.0052  -0.0350  -0.0298
17.70   0.0051  -0.0360  -0.0310
17.80   0.0053  -0.0374  -0.0321
17.90   0.0055  -0.0386  -0.0331
18.00   0.0058  -0.0399  -0.0341
18.10   0.0062  -0.0412  -0.0351
18.20   0.0066  -0.0428  -0.0362
18.30   0.0069  -0.0443  -0.0373
18.40   0.0074  -0.0459  -0.0384
18.50   0.0079  -0.0475  -0.0396
18.60   0.0084  -0.0490  -0.0406
18.70   0.0088  -0.0501  -0.0413
18.80   0.0091  -0.0508  -0.0417
18.90   0.0095  -0.0515  -0.0420
19.00   0.0099  -0.0523  -0.0424
19.10   0.0103  -0.0531  -0.0428
19.20   0.0107  -0.0540  -0.0433
19.30   0.0112  -0.0548  -0.0436
19.40   0.0116  -0.0558  -0.0441
19.50   0.0123  -0.0568  -0.0446
19.60   0.0128  -0.0579  -0.0451
19.70   0.0135  -0.0592  -0.0457
19.80   0.0141  -0.0604  -0.0463
19.90   0.0148  -0.0618  -0.0469
20.00   0.0156  -0.0632  -0.0476
20.10   0.0164  -0.0646  -0.0483
20.20   0.0172  -0.0661  -0.0489
20.30   0.0181  -0.0676  -0.0496
20.40   0.0190  -0.0692  -0.0502
20.50   0.0200  -0.0708  -0.0508
20.60   0.0210  -0.0723  -0.0514
20.70   0.0219  -0.0734  -0.0517
20.80   0.0226  -0.0742  -0.0516
20.90   0.0233  -0.0748  -0.0515
21.00   0.0240  -0.0755  -0.0514
21.10   0.0248  -0.0761  -0.0512
21.20   0.0256  -0.0768  -0.0511
21.30   0.0264  -0.0774  -0.0510
21.40   0.0272  -0.0781  -0.0508
21.50   0.0281  -0.0789  -0.0506
21.60   0.0291  -0.0795  -0.0505
21.70   0.0301  -0.0803  -0.0503
21.80   0.0311  -0.0810  -0.0500
21.90   0.0321  -0.0818  -0.0497
22.00   0.0331  -0.0826  -0.0495
22.10   0.0342  -0.0833  -0.0490
22.20   0.0355  -0.0839  -0.0485
22.30   0.0366  -0.0846  -0.0480
22.40   0.0378  -0.0852  -0.0473
22.50   0.0391  -0.0859  -0.0468
22.60   0.0404  -0.0866  -0.0462
22.70   0.0417  -0.0872  -0.0455
22.80   0.0431  -0.0879  -0.0448
22.90   0.0445  -0.0886  -0.0440
23.00   0.0460  -0.0893  -0.0433
23.10   0.0474  -0.0899  -0.0425
23.20   0.0490  -0.0906  -0.0417
23.30   0.0505  -0.0913  -0.0408
23.40   0.0521  -0.0919  -0.0399
23.50   0.0537  -0.0926  -0.0390
23.60   0.0553  -0.0933  -0.0380
23.70   0.0569  -0.0939  -0.0370
23.80   0.0586  -0.0945  -0.0360
23.90   0.0603  -0.0952  -0.0348
24.00   0.0620  -0.0957  -0.0337
24.10   0.0637  -0.0962  -0.0325
24.20   0.0655  -0.0967  -0.0313
24.30   0.0672  -0.0972  -0.0301
24.40   0.0690  -0.0978  -0.0288
24.50   0.0707  -0.0982  -0.0275
24.60   0.0725  -0.0986  -0.0262
24.70   0.0742  -0.0990  -0.0248
24.80   0.0759  -0.0994  -0.0234
24.90   0.0777  -0.0996  -0.0219
25.00   0.0794  -0.0997  -0.0203
25.10   0.0811  -0.0998  -0.0187
25.20   0.0828  -0.0998  -0.0170
25.30   0.0845  -0.0998  -0.0153
25.40   0.0861  -0.0997  -0.0136
25.50   0.0877  -0.0997  -0.0120
25.60   0.0894  -0.0996  -0.0103
25.70   0.0910  -0.0995  -0.0085
25.80   0.0925  -0.0994  -0.0068
25.90   0.0940  -0.0992  -0.0051
26.00   0.0955  -0.0990  -0.0034
26.10   0.0970  -0.0987  -0.0017
26.20   0.0985  -0.0985  -0.0001
26.30   0.0999  -0.0983   0.0016
26.40   0.1014  -0.0981   0.0033
26.50   0.1030  -0.0980   0.0051
26.60   0.1047  -0.0980   0.0068
26.70   0.1064  -0.0979   0.0085
26.80   0.1081  -0.0979   0.0102
26.90   0.1098  -0.0978   0.0120
27.00   0.1115  -0.0977   0.0137
27.10   0.1131  -0.0977   0.0154
27.20   0.1147  -0.0975   0.0171
27.30   0.1163  -0.0974   0.0188
27.40   0.1177  -0.0972   0.0205
27.50   0.1193  -0.0970   0.0222
27.60   0.1207  -0.0968   0.0239
27.70   0.1221  -0.0966   0.0255
27.80   0.1235  -0.0964   0.0272
27.90   0.1250  -0.0961   0.0288
28.00   0.1262  -0.0957   0.0305
28.10   0.1274  -0.0953   0.0321
28.20   0.1287  -0.0949   0.0338
28.30   0.1298  -0.0945   0.0354
28.40   0.1310  -0.0940   0.0370
28.50   0.1320  -0.0935   0.0385
28.60   0.1330  -0.0930   0.0400
28.70   0.1340  -0.0925   0.0415
28.80   0.1349  -0.0920   0.0429
28.90   0.1357  -0.0915   0.0443
29.00   0.1366  -0.0910   0.0456
29.10   0.1373  -0.0904   0.0469
29.20   0.1381  -0.0899   0.0482
29.30   0.1388  -0.0893   0.0495
29.40   0.1394  -0.0887   0.0507
29.50   0.1401  -0.0881   0.0519
29.60   0.1405  -0.0875   0.0530
29.70   0.1410  -0.0870   0.0541
29.80   0.1415  -0.0864   0.0551
29.90   0.1419  -0.0858   0.0561
30.00   0.1423  -0.0852   0.0571
