     height (km) solar hr (K/day)    IR hr (K/day)   Net hr (K/day)
15.50   0.3359   0.0040   0.3398
15.60   0.3120   0.0192   0.3312
15.70   0.2883   0.0432   0.3317
15.80   0.2657   0.0721   0.3376
15.90   0.2472   0.1026   0.3498
16.00   0.2349   0.1124   0.3471
16.10   0.2237   0.1171   0.3410
16.20   0.2109   0.1253   0.3365
16.30   0.1962   0.1360   0.3322
16.40   0.1830   0.1309   0.3137
16.50   0.1670   0.1341   0.3009
16.60   0.1511   0.1294   0.2805
16.70   0.1387   0.1115   0.2503
16.80   0.1244   0.1058   0.2302
16.90   0.1108   0.0933   0.2043
17.00   0.1003   0.0681   0.1683
17.10   0.0883   0.0439   0.1321
17.20   0.0743   0.0302   0.1043
17.30   0.0646   0.0099   0.0746
17.40   0.0558  -0.0059   0.0497
17.50   0.0465  -0.0194   0.0268
17.60   0.0387  -0.0335   0.0052
17.70   0.0336  -0.0496  -0.0160
17.80   0.0279  -0.0666  -0.0386
17.90   0.0215  -0.0740  -0.0523
18.00   0.0181  -0.0831  -0.0650
18.10   0.0153  -0.0892  -0.0740
18.20   0.0143  -0.0987  -0.0843
18.30   0.0140  -0.1056  -0.0915
18.40   0.0146  -0.1123  -0.0981
18.50   0.0148  -0.1186  -0.1039
18.60   0.0155  -0.1227  -0.1073
18.70   0.0160  -0.1260  -0.1101
18.80   0.0165  -0.1286  -0.1120
18.90   0.0173  -0.1311  -0.1137
19.00   0.0182  -0.1336  -0.1154
19.10   0.0190  -0.1361  -0.1172
19.20   0.0199  -0.1385  -0.1188
19.30   0.0207  -0.1409  -0.1203
19.40   0.0217  -0.1435  -0.1216
19.50   0.0225  -0.1459  -0.1232
19.60   0.0236  -0.1484  -0.1247
19.70   0.0248  -0.1509  -0.1263
19.80   0.0259  -0.1536  -0.1277
19.90   0.0272  -0.1561  -0.1291
20.00   0.0282  -0.1588  -0.1305
20.10   0.0296  -0.1615  -0.1318
20.20   0.0308  -0.1640  -0.1331
20.30   0.0322  -0.1666  -0.1343
20.40   0.0336  -0.1692  -0.1355
20.50   0.0351  -0.1716  -0.1365
20.60   0.0362  -0.1730  -0.1367
20.70   0.0371  -0.1729  -0.1359
20.80   0.0376  -0.1726  -0.1347
20.90   0.0387  -0.1721  -0.1334
21.00   0.0393  -0.1716  -0.1322
21.10   0.0399  -0.1713  -0.1311
21.20   0.0410  -0.1711  -0.1302
21.30   0.0417  -0.1707  -0.1292
21.40   0.0427  -0.1709  -0.1281
21.50   0.0438  -0.1711  -0.1275
21.60   0.0447  -0.1715  -0.1268
21.70   0.0458  -0.1719  -0.1261
21.80   0.0468  -0.1726  -0.1257
21.90   0.0481  -0.1734  -0.1252
22.00   0.0495  -0.1740  -0.1247
22.10   0.0510  -0.1748  -0.1239
22.20   0.0525  -0.1756  -0.1232
22.30   0.0539  -0.1766  -0.1226
22.40   0.0556  -0.1776  -0.1221
22.50   0.0575  -0.1790  -0.1215
22.60   0.0589  -0.1802  -0.1212
22.70   0.0610  -0.1818  -0.1208
22.80   0.0630  -0.1832  -0.1203
22.90   0.0649  -0.1849  -0.1199
23.00   0.0671  -0.1866  -0.1195
23.10   0.0692  -0.1882  -0.1191
23.20   0.0713  -0.1901  -0.1187
23.30   0.0738  -0.1921  -0.1182
23.40   0.0762  -0.1940  -0.1178
23.50   0.0787  -0.1959  -0.1172
23.60   0.0813  -0.1980  -0.1168
23.70   0.0836  -0.1997  -0.1162
23.80   0.0862  -0.2015  -0.1154
23.90   0.0887  -0.2033  -0.1147
24.00   0.0914  -0.2051  -0.1140
24.10   0.0940  -0.2068  -0.1129
24.20   0.0965  -0.2083  -0.1118
24.30   0.0993  -0.2100  -0.1107
24.40   0.1021  -0.2117  -0.1097
