     height (km) solar hr (K/day)    IR hr (K/day)   Net hr (K/day)
15.50   0.1102   0.0399   0.1501
15.60   0.1015   0.0477   0.1493
15.70   0.0934   0.0560   0.1494
15.80   0.0855   0.0653   0.1508
15.90   0.0788   0.0736   0.1523
16.00   0.0739   0.0768   0.1507
16.10   0.0694   0.0799   0.1493
16.20   0.0655   0.0826   0.1481
16.30   0.0616   0.0837   0.1453
16.40   0.0576   0.0821   0.1397
16.50   0.0539   0.0790   0.1329
16.60   0.0497   0.0760   0.1256
16.70   0.0454   0.0705   0.1159
16.80   0.0411   0.0660   0.1071
16.90   0.0369   0.0599   0.0968
17.00   0.0331   0.0506   0.0837
17.10   0.0295   0.0403   0.0699
17.20   0.0253   0.0330   0.0583
17.30   0.0220   0.0223   0.0443
17.40   0.0190   0.0122   0.0312
17.50   0.0160   0.0013   0.0173
17.60   0.0138  -0.0082   0.0056
17.70   0.0123  -0.0161  -0.0038
17.80   0.0109  -0.0254  -0.0145
17.90   0.0095  -0.0322  -0.0227
18.00   0.0089  -0.0378  -0.0290
18.10   0.0084  -0.0426  -0.0342
18.20   0.0083  -0.0464  -0.0381
18.30   0.0085  -0.0496  -0.0410
18.40   0.0088  -0.0523  -0.0436
18.50   0.0092  -0.0550  -0.0458
18.60   0.0097  -0.0571  -0.0475
18.70   0.0100  -0.0585  -0.0485
18.80   0.0103  -0.0595  -0.0492
18.90   0.0107  -0.0604  -0.0497
19.00   0.0111  -0.0613  -0.0502
19.10   0.0116  -0.0623  -0.0507
19.20   0.0121  -0.0633  -0.0512
19.30   0.0126  -0.0643  -0.0517
19.40   0.0132  -0.0653  -0.0521
19.50   0.0138  -0.0664  -0.0527
19.60   0.0144  -0.0676  -0.0532
19.70   0.0151  -0.0688  -0.0538
19.80   0.0158  -0.0702  -0.0544
19.90   0.0166  -0.0715  -0.0549
20.00   0.0174  -0.0729  -0.0555
20.10   0.0182  -0.0743  -0.0560
20.20   0.0191  -0.0758  -0.0566
20.30   0.0201  -0.0772  -0.0571
20.40   0.0211  -0.0787  -0.0577
20.50   0.0221  -0.0802  -0.0581
20.60   0.0230  -0.0813  -0.0583
20.70   0.0237  -0.0817  -0.0580
20.80   0.0243  -0.0819  -0.0576
20.90   0.0250  -0.0822  -0.0572
21.00   0.0256  -0.0824  -0.0567
21.10   0.0264  -0.0827  -0.0564
21.20   0.0271  -0.0830  -0.0559
21.30   0.0278  -0.0834  -0.0555
21.40   0.0287  -0.0838  -0.0551
21.50   0.0295  -0.0842  -0.0548
21.60   0.0304  -0.0847  -0.0544
21.70   0.0313  -0.0853  -0.0540
21.80   0.0323  -0.0859  -0.0536
21.90   0.0333  -0.0865  -0.0532
22.00   0.0344  -0.0871  -0.0528
22.10   0.0355  -0.0878  -0.0522
22.20   0.0367  -0.0883  -0.0516
22.30   0.0379  -0.0890  -0.0511
22.40   0.0392  -0.0897  -0.0505
22.50   0.0406  -0.0904  -0.0499
22.60   0.0419  -0.0912  -0.0493
22.70   0.0433  -0.0920  -0.0486
22.80   0.0448  -0.0928  -0.0480
22.90   0.0463  -0.0936  -0.0473
23.00   0.0479  -0.0945  -0.0466
23.10   0.0495  -0.0954  -0.0458
23.20   0.0511  -0.0963  -0.0451
23.30   0.0528  -0.0972  -0.0443
23.40   0.0545  -0.0981  -0.0435
23.50   0.0563  -0.0989  -0.0426
23.60   0.0581  -0.0999  -0.0418
23.70   0.0599  -0.1008  -0.0408
23.80   0.0618  -0.1016  -0.0398
23.90   0.0636  -0.1023  -0.0388
24.00   0.0655  -0.1031  -0.0377
24.10   0.0673  -0.1038  -0.0365
24.20   0.0692  -0.1045  -0.0353
24.30   0.0711  -0.1052  -0.0341
24.40   0.0730  -0.1059  -0.0329
24.50   0.0749  -0.1065  -0.0316
24.60   0.0769  -0.1072  -0.0302
24.70   0.0788  -0.1077  -0.0289
24.80   0.0807  -0.1082  -0.0275
24.90   0.0826  -0.1085  -0.0259
25.00   0.0845  -0.1087  -0.0243
25.10   0.0864  -0.1090  -0.0226
25.20   0.0883  -0.1092  -0.0209
25.30   0.0902  -0.1094  -0.0192
25.40   0.0921  -0.1096  -0.0174
25.50   0.0939  -0.1096  -0.0157
25.60   0.0958  -0.1097  -0.0140
25.70   0.0976  -0.1098  -0.0122
25.80   0.0994  -0.1098  -0.0104
25.90   0.1012  -0.1098  -0.0087
26.00   0.1029  -0.1098  -0.0069
26.10   0.1047  -0.1098  -0.0051
26.20   0.1064  -0.1098  -0.0033
26.30   0.1083  -0.1098  -0.0016
26.40   0.1102  -0.1100   0.0003
26.50   0.1122  -0.1101   0.0021
26.60   0.1141  -0.1103   0.0039
26.70   0.1162  -0.1104   0.0058
26.80   0.1181  -0.1105   0.0076
26.90   0.1201  -0.1106   0.0095
27.00   0.1221  -0.1107   0.0113
27.10   0.1239  -0.1108   0.0132
27.20   0.1259  -0.1108   0.0151
