     height (km) solar hr (K/day)    IR hr (K/day)   Net hr (K/day)
15.60   0.0538   0.0551   0.1089
15.70   0.0491   0.0530   0.1020
15.80   0.0442   0.0497   0.0939
15.90   0.0392   0.0458   0.0850
16.00   0.0354   0.0412   0.0766
16.10   0.0313   0.0362   0.0674
16.20   0.0274   0.0313   0.0586
16.30   0.0242   0.0260   0.0501
16.40   0.0208   0.0216   0.0424
16.50   0.0181   0.0170   0.0351
16.60   0.0159   0.0119   0.0278
16.70   0.0134   0.0066   0.0200
16.80   0.0114   0.0011   0.0125
16.90   0.0094  -0.0052   0.0042
17.00   0.0077  -0.0108  -0.0030
17.10   0.0065  -0.0147  -0.0082
17.20   0.0056  -0.0182  -0.0127
17.30   0.0050  -0.0222  -0.0172
17.40   0.0047  -0.0252  -0.0205
17.50   0.0045  -0.0278  -0.0232
17.60   0.0045  -0.0307  -0.0262
17.70   0.0044  -0.0327  -0.0283
17.80   0.0046  -0.0342  -0.0296
17.90   0.0047  -0.0355  -0.0307
18.00   0.0050  -0.0364  -0.0315
18.10   0.0052  -0.0374  -0.0321
18.20   0.0056  -0.0385  -0.0329
18.30   0.0059  -0.0395  -0.0337
18.40   0.0062  -0.0405  -0.0343
18.50   0.0066  -0.0416  -0.0351
18.60   0.0070  -0.0427  -0.0357
18.70   0.0074  -0.0436  -0.0362
18.80   0.0077  -0.0442  -0.0365
18.90   0.0079  -0.0447  -0.0367
19.00   0.0082  -0.0452  -0.0369
19.10   0.0085  -0.0458  -0.0372
19.20   0.0089  -0.0463  -0.0374
19.30   0.0092  -0.0468  -0.0376
19.40   0.0096  -0.0474  -0.0378
19.50   0.0100  -0.0479  -0.0380
19.60   0.0104  -0.0486  -0.0382
19.70   0.0108  -0.0493  -0.0384
19.80   0.0113  -0.0500  -0.0387
19.90   0.0118  -0.0507  -0.0390
20.00   0.0124  -0.0516  -0.0392
20.10   0.0130  -0.0524  -0.0395
20.20   0.0135  -0.0533  -0.0398
20.30   0.0142  -0.0541  -0.0400
20.40   0.0148  -0.0551  -0.0403
20.50   0.0155  -0.0560  -0.0404
20.60   0.0163  -0.0569  -0.0407
20.70   0.0169  -0.0577  -0.0407
20.80   0.0175  -0.0581  -0.0406
20.90   0.0180  -0.0584  -0.0404
21.00   0.0186  -0.0587  -0.0401
21.10   0.0192  -0.0590  -0.0398
21.20   0.0197  -0.0592  -0.0396
21.30   0.0203  -0.0595  -0.0392
21.40   0.0209  -0.0599  -0.0389
21.50   0.0215  -0.0602  -0.0387
21.60   0.0222  -0.0605  -0.0384
21.70   0.0229  -0.0609  -0.0381
21.80   0.0235  -0.0613  -0.0378
21.90   0.0242  -0.0617  -0.0374
22.00   0.0250  -0.0621  -0.0371
22.10   0.0257  -0.0626  -0.0368
22.20   0.0266  -0.0629  -0.0363
22.30   0.0274  -0.0632  -0.0357
22.40   0.0283  -0.0636  -0.0353
22.50   0.0292  -0.0639  -0.0348
22.60   0.0301  -0.0643  -0.0342
22.70   0.0310  -0.0647  -0.0337
22.80   0.0320  -0.0650  -0.0331
22.90   0.0329  -0.0655  -0.0325
23.00   0.0339  -0.0658  -0.0320
23.10   0.0349  -0.0663  -0.0313
23.20   0.0360  -0.0667  -0.0307
23.30   0.0370  -0.0671  -0.0300
23.40   0.0381  -0.0675  -0.0293
23.50   0.0392  -0.0679  -0.0287
23.60   0.0403  -0.0683  -0.0280
23.70   0.0414  -0.0687  -0.0272
23.80   0.0426  -0.0690  -0.0265
23.90   0.0437  -0.0695  -0.0257
24.00   0.0450  -0.0699  -0.0249
24.10   0.0462  -0.0701  -0.0240
24.20   0.0473  -0.0705  -0.0232
24.30   0.0485  -0.0708  -0.0223
24.40   0.0498  -0.0711  -0.0214
24.50   0.0509  -0.0714  -0.0205
24.60   0.0522  -0.0717  -0.0195
24.70   0.0533  -0.0719  -0.0186
24.80   0.0545  -0.0721  -0.0176
24.90   0.0557  -0.0723  -0.0166
25.00   0.0569  -0.0725  -0.0156
25.10   0.0581  -0.0726  -0.0145
25.20   0.0592  -0.0727  -0.0133
25.30   0.0604  -0.0726  -0.0122
25.40   0.0616  -0.0726  -0.0110
25.50   0.0627  -0.0726  -0.0098
25.60   0.0639  -0.0726  -0.0086
25.70   0.0650  -0.0725  -0.0075
25.80   0.0661  -0.0724  -0.0063
25.90   0.0673  -0.0723  -0.0051
26.00   0.0683  -0.0722  -0.0039
26.10   0.0694  -0.0722  -0.0027
26.20   0.0705  -0.0720  -0.0015
26.30   0.0715  -0.0719  -0.0004
26.40   0.0726  -0.0717   0.0008
26.50   0.0736  -0.0716   0.0020
26.60   0.0747  -0.0715   0.0032
26.70   0.0759  -0.0714   0.0044
26.80   0.0771  -0.0714   0.0056
