     height (km) solar hr (K/day)    IR hr (K/day)   Net hr (K/day)
15.50   0.0778   0.0609   0.1387
15.60   0.0714   0.0629   0.1343
15.70   0.0656   0.0651   0.1306
15.80   0.0594   0.0667   0.1261
15.90   0.0539   0.0675   0.1214
16.00   0.0492   0.0667   0.1158
16.10   0.0440   0.0660   0.1100
16.20   0.0402   0.0616   0.1017
16.30   0.0361   0.0565   0.0925
16.40   0.0319   0.0500   0.0819
16.50   0.0288   0.0426   0.0714
16.60   0.0259   0.0345   0.0604
16.70   0.0229   0.0256   0.0484
16.80   0.0205   0.0159   0.0363
16.90   0.0175   0.0059   0.0234
17.00   0.0147  -0.0043   0.0103
17.10   0.0122  -0.0117   0.0004
17.20   0.0099  -0.0173  -0.0074
17.30   0.0080  -0.0234  -0.0153
17.40   0.0069  -0.0268  -0.0199
17.50   0.0060  -0.0303  -0.0243
17.60   0.0054  -0.0327  -0.0274
17.70   0.0050  -0.0348  -0.0297
17.80   0.0050  -0.0367  -0.0317
17.90   0.0050  -0.0384  -0.0335
18.00   0.0049  -0.0397  -0.0347
18.10   0.0052  -0.0411  -0.0360
18.20   0.0054  -0.0425  -0.0371
18.30   0.0057  -0.0439  -0.0382
18.40   0.0062  -0.0454  -0.0393
18.50   0.0065  -0.0470  -0.0405
18.60   0.0069  -0.0484  -0.0415
18.70   0.0072  -0.0492  -0.0420
18.80   0.0074  -0.0498  -0.0423
18.90   0.0077  -0.0504  -0.0427
19.00   0.0080  -0.0511  -0.0431
19.10   0.0083  -0.0519  -0.0436
19.20   0.0086  -0.0527  -0.0440
19.30   0.0090  -0.0536  -0.0445
19.40   0.0095  -0.0545  -0.0451
19.50   0.0099  -0.0556  -0.0457
19.60   0.0104  -0.0568  -0.0464
19.70   0.0109  -0.0581  -0.0471
19.80   0.0115  -0.0595  -0.0479
19.90   0.0122  -0.0609  -0.0488
20.00   0.0128  -0.0625  -0.0497
20.10   0.0135  -0.0641  -0.0505
20.20   0.0143  -0.0658  -0.0514
20.30   0.0151  -0.0675  -0.0524
20.40   0.0160  -0.0693  -0.0533
20.50   0.0168  -0.0711  -0.0542
20.60   0.0177  -0.0726  -0.0549
20.70   0.0184  -0.0735  -0.0550
20.80   0.0191  -0.0741  -0.0550
20.90   0.0197  -0.0747  -0.0550
21.00   0.0204  -0.0754  -0.0550
21.10   0.0211  -0.0760  -0.0549
21.20   0.0218  -0.0768  -0.0549
21.30   0.0226  -0.0774  -0.0549
21.40   0.0233  -0.0782  -0.0548
21.50   0.0241  -0.0790  -0.0548
21.60   0.0250  -0.0798  -0.0548
21.70   0.0259  -0.0807  -0.0547
21.80   0.0269  -0.0816  -0.0547
21.90   0.0279  -0.0825  -0.0547
22.00   0.0289  -0.0834  -0.0546
22.10   0.0299  -0.0843  -0.0543
22.20   0.0311  -0.0852  -0.0541
22.30   0.0322  -0.0860  -0.0538
22.40   0.0333  -0.0869  -0.0535
22.50   0.0346  -0.0879  -0.0532
22.60   0.0359  -0.0888  -0.0529
22.70   0.0372  -0.0898  -0.0526
22.80   0.0385  -0.0907  -0.0522
22.90   0.0398  -0.0917  -0.0518
23.00   0.0413  -0.0927  -0.0514
23.10   0.0427  -0.0937  -0.0509
23.20   0.0442  -0.0947  -0.0505
23.30   0.0457  -0.0956  -0.0499
23.40   0.0472  -0.0966  -0.0494
