     height (km) solar hr (K/day)    IR hr (K/day)   Net hr (K/day)
15.50   0.1592  -0.0153   0.1443
15.60   0.1421   0.0027   0.1449
15.70   0.1290   0.0111   0.1399
15.80   0.1157   0.0228   0.1387
15.90   0.1027   0.0352   0.1381
16.00   0.0929   0.0404   0.1331
16.10   0.0828   0.0430   0.1256
16.20   0.0744   0.0344   0.1089
16.30   0.0682   0.0235   0.0918
16.40   0.0574   0.0181   0.0755
16.50   0.0471   0.0146   0.0616
16.60   0.0400   0.0072   0.0474
16.70   0.0312  -0.0042   0.0272
16.80   0.0255  -0.0134   0.0119
16.90   0.0211  -0.0203   0.0008
17.00   0.0169  -0.0274  -0.0105
17.10   0.0140  -0.0367  -0.0228
17.20   0.0122  -0.0446  -0.0320
17.30   0.0099  -0.0487  -0.0386
17.40   0.0088  -0.0525  -0.0440
17.50   0.0078  -0.0556  -0.0478
17.60   0.0068  -0.0574  -0.0502
17.70   0.0065  -0.0599  -0.0533
17.80   0.0069  -0.0624  -0.0557
17.90   0.0067  -0.0646  -0.0577
18.00   0.0070  -0.0672  -0.0604
18.10   0.0076  -0.0699  -0.0625
18.20   0.0079  -0.0727  -0.0648
18.30   0.0086  -0.0757  -0.0672
18.40   0.0090  -0.0788  -0.0696
18.50   0.0098  -0.0816  -0.0720
18.60   0.0103  -0.0846  -0.0740
18.70   0.0110  -0.0865  -0.0755
18.80   0.0116  -0.0881  -0.0767
18.90   0.0116  -0.0898  -0.0779
19.00   0.0125  -0.0915  -0.0791
19.10   0.0130  -0.0934  -0.0803
19.20   0.0137  -0.0953  -0.0817
19.30   0.0144  -0.0972  -0.0828
19.40   0.0151  -0.0992  -0.0842
19.50   0.0158  -0.1014  -0.0855
19.60   0.0166  -0.1035  -0.0869
19.70   0.0176  -0.1059  -0.0884
19.80   0.0185  -0.1083  -0.0898
19.90   0.0194  -0.1109  -0.0914
20.00   0.0205  -0.1134  -0.0929
20.10   0.0214  -0.1159  -0.0944
20.20   0.0226  -0.1185  -0.0959
20.30   0.0237  -0.1211  -0.0974
20.40   0.0249  -0.1238  -0.0989
20.50   0.0262  -0.1265  -0.1004
20.60   0.0274  -0.1291  -0.1016
20.70   0.0286  -0.1308  -0.1024
20.80   0.0294  -0.1320  -0.1024
20.90   0.0304  -0.1328  -0.1024
21.00   0.0314  -0.1338  -0.1023
21.10   0.0325  -0.1347  -0.1022
21.20   0.0334  -0.1356  -0.1022
21.30   0.0344  -0.1366  -0.1021
21.40   0.0354  -0.1375  -0.1020
21.50   0.0365  -0.1387  -0.1018
21.60   0.0378  -0.1395  -0.1017
21.70   0.0389  -0.1407  -0.1017
21.80   0.0402  -0.1418  -0.1015
21.90   0.0414  -0.1429  -0.1013
22.00   0.0427  -0.1442  -0.1013
22.10   0.0441  -0.1451  -0.1009
22.20   0.0458  -0.1460  -0.1004
22.30   0.0472  -0.1471  -0.0999
22.40   0.0487  -0.1480  -0.0993
22.50   0.0501  -0.1490  -0.0988
22.60   0.0518  -0.1501  -0.0983
22.70   0.0534  -0.1511  -0.0976
22.80   0.0552  -0.1521  -0.0971
22.90   0.0569  -0.1531  -0.0963
23.00   0.0585  -0.1541  -0.0957
23.10   0.0603  -0.1552  -0.0950
23.20   0.0622  -0.1564  -0.0943
23.30   0.0640  -0.1575  -0.0934
23.40   0.0660  -0.1586  -0.0926
23.50   0.0678  -0.1597  -0.0919
23.60   0.0698  -0.1608  -0.0909
23.70   0.0717  -0.1619  -0.0899
23.80   0.0737  -0.1627  -0.0890
23.90   0.0757  -0.1637  -0.0878
24.00   0.0777  -0.1646  -0.0867
24.10   0.0798  -0.1654  -0.0856
24.20   0.0819  -0.1662  -0.0843
24.30   0.0840  -0.1671  -0.0831
24.40   0.0861  -0.1680  -0.0817
24.50   0.0881  -0.1686  -0.0803
24.60   0.0902  -0.1692  -0.0790
