    height (km) solar hr (K/day)    IR hr (K/day)   Net hr (K/day)
15.60   0.0719   0.0456   0.1176
15.70   0.0658   0.0481   0.1139
15.80   0.0597   0.0503   0.1100
15.90   0.0540   0.0519   0.1059
16.00   0.0494   0.0516   0.1010
16.10   0.0449   0.0507   0.0956
16.20   0.0410   0.0482   0.0891
16.30   0.0374   0.0448   0.0822
16.40   0.0336   0.0403   0.0739
16.50   0.0303   0.0355   0.0658
16.60   0.0273   0.0304   0.0576
16.70   0.0241   0.0241   0.0483
16.80   0.0214   0.0181   0.0395
16.90   0.0188   0.0114   0.0301
17.00   0.0163   0.0042   0.0205
17.10   0.0141  -0.0022   0.0119
17.20   0.0120  -0.0072   0.0048
17.30   0.0104  -0.0131  -0.0027
17.40   0.0091  -0.0178  -0.0087
17.50   0.0080  -0.0226  -0.0145
17.60   0.0073  -0.0267  -0.0194
17.70   0.0067  -0.0299  -0.0232
17.80   0.0065  -0.0335  -0.0270
17.90   0.0062  -0.0363  -0.0301
18.00   0.0062  -0.0386  -0.0324
18.10   0.0063  -0.0407  -0.0344
18.20   0.0065  -0.0427  -0.0362
18.30   0.0068  -0.0445  -0.0377
18.40   0.0072  -0.0462  -0.0390
18.50   0.0076  -0.0480  -0.0404
18.60   0.0080  -0.0495  -0.0415
18.70   0.0084  -0.0505  -0.0422
18.80   0.0087  -0.0513  -0.0426
18.90   0.0090  -0.0519  -0.0429
19.00   0.0093  -0.0527  -0.0433
19.10   0.0097  -0.0535  -0.0437
19.20   0.0101  -0.0543  -0.0442
19.30   0.0105  -0.0551  -0.0445
19.40   0.0110  -0.0560  -0.0450
19.50   0.0115  -0.0569  -0.0454
19.60   0.0120  -0.0579  -0.0459
19.70   0.0126  -0.0591  -0.0464
19.80   0.0132  -0.0602  -0.0470
19.90   0.0139  -0.0614  -0.0476
20.00   0.0146  -0.0628  -0.0482
20.10   0.0153  -0.0641  -0.0488
20.20   0.0161  -0.0655  -0.0494
20.30   0.0169  -0.0669  -0.0500
20.40   0.0178  -0.0683  -0.0506
20.50   0.0187  -0.0698  -0.0511
20.60   0.0196  -0.0710  -0.0515
20.70   0.0203  -0.0719  -0.0516
20.80   0.0209  -0.0724  -0.0514
20.90   0.0216  -0.0728  -0.0512
21.00   0.0222  -0.0733  -0.0510
21.10   0.0229  -0.0737  -0.0508
21.20   0.0236  -0.0742  -0.0506
21.30   0.0244  -0.0747  -0.0504
21.40   0.0251  -0.0753  -0.0501
21.50   0.0259  -0.0759  -0.0499
21.60   0.0268  -0.0764  -0.0497
21.70   0.0276  -0.0771  -0.0495
21.80   0.0285  -0.0777  -0.0492
21.90   0.0295  -0.0784  -0.0490
22.00   0.0304  -0.0791  -0.0487
22.10   0.0315  -0.0798  -0.0483
22.20   0.0326  -0.0804  -0.0478
22.30   0.0336  -0.0810  -0.0474
22.40   0.0348  -0.0817  -0.0469
22.50   0.0360  -0.0823  -0.0464
22.60   0.0372  -0.0830  -0.0459
22.70   0.0384  -0.0837  -0.0453
22.80   0.0397  -0.0844  -0.0447
22.90   0.0410  -0.0852  -0.0441
23.00   0.0424  -0.0859  -0.0435
23.10   0.0438  -0.0867  -0.0429
23.20   0.0452  -0.0874  -0.0422
23.30   0.0466  -0.0881  -0.0415
23.40   0.0481  -0.0889  -0.0407
23.50   0.0497  -0.0896  -0.0400
23.60   0.0512  -0.0904  -0.0392
23.70   0.0527  -0.0911  -0.0383
23.80   0.0543  -0.0918  -0.0375
23.90   0.0559  -0.0925  -0.0366
24.00   0.0576  -0.0932  -0.0356
24.10   0.0592  -0.0938  -0.0346
24.20   0.0608  -0.0944  -0.0336
24.30   0.0625  -0.0950  -0.0325
24.40   0.0641  -0.0956  -0.0314
24.50   0.0658  -0.0961  -0.0303
24.60   0.0675  -0.0966  -0.0291
24.70   0.0691  -0.0971  -0.0279
24.80   0.0708  -0.0975  -0.0267
24.90   0.0724  -0.0977  -0.0254
25.00   0.0740  -0.0980  -0.0239
25.10   0.0756  -0.0981  -0.0225
25.20   0.0772  -0.0982  -0.0209
25.30   0.0788  -0.0983  -0.0194
25.40   0.0804  -0.0983  -0.0179
25.50   0.0819  -0.0983  -0.0164
25.60   0.0835  -0.0983  -0.0148
25.70   0.0850  -0.0983  -0.0132
25.80   0.0865  -0.0982  -0.0117
25.90   0.0879  -0.0981  -0.0102
26.00   0.0894  -0.0980  -0.0086
26.10   0.0908  -0.0978  -0.0070
26.20   0.0922  -0.0977  -0.0055
26.30   0.0936  -0.0975  -0.0039
26.40   0.0951  -0.0975  -0.0023
26.50   0.0967  -0.0974  -0.0008
