     height (km) solar hr (K/day)    IR hr (K/day)   Net hr (K/day)
15.50   0.1627  -0.0771   0.0860
15.60   0.1438  -0.0667   0.0772
15.70   0.1293  -0.0627   0.0665
15.80   0.1149  -0.0528   0.0623
15.90   0.1012  -0.0383   0.0630
16.00   0.0908  -0.0318   0.0588
16.10   0.0802  -0.0265   0.0535
16.20   0.0719  -0.0301   0.0419
16.30   0.0657  -0.0367   0.0292
16.40   0.0550  -0.0359   0.0191
16.50   0.0447  -0.0350   0.0097
16.60   0.0378  -0.0373   0.0007
16.70   0.0293  -0.0414  -0.0119
16.80   0.0240  -0.0431  -0.0192
16.90   0.0200  -0.0447  -0.0248
17.00   0.0160  -0.0473  -0.0314
17.10   0.0135  -0.0509  -0.0375
17.20   0.0119  -0.0562  -0.0439
17.30   0.0099  -0.0569  -0.0467
17.40   0.0091  -0.0577  -0.0489
17.50   0.0082  -0.0600  -0.0519
17.60   0.0072  -0.0617  -0.0542
17.70   0.0069  -0.0642  -0.0572
17.80   0.0073  -0.0668  -0.0596
17.90   0.0072  -0.0690  -0.0617
18.00   0.0075  -0.0716  -0.0643
18.10   0.0080  -0.0744  -0.0666
18.20   0.0084  -0.0772  -0.0688
18.30   0.0091  -0.0804  -0.0713
18.40   0.0096  -0.0834  -0.0736
18.50   0.0105  -0.0865  -0.0762
18.60   0.0110  -0.0896  -0.0783
18.70   0.0117  -0.0916  -0.0799
18.80   0.0124  -0.0934  -0.0812
18.90   0.0124  -0.0952  -0.0825
19.00   0.0134  -0.0970  -0.0837
19.10   0.0138  -0.0991  -0.0850
19.20   0.0146  -0.1011  -0.0865
19.30   0.0154  -0.1030  -0.0877
19.40   0.0161  -0.1052  -0.0892
19.50   0.0169  -0.1075  -0.0906
19.60   0.0177  -0.1098  -0.0920
19.70   0.0188  -0.1123  -0.0937
19.80   0.0198  -0.1149  -0.0951
19.90   0.0207  -0.1176  -0.0968
20.00   0.0219  -0.1203  -0.0984
20.10   0.0229  -0.1230  -0.1000
20.20   0.0241  -0.1258  -0.1016
20.30   0.0253  -0.1286  -0.1032
20.40   0.0266  -0.1315  -0.1048
20.50   0.0279  -0.1342  -0.1064
20.60   0.0293  -0.1370  -0.1077
20.70   0.0306  -0.1389  -0.1085
20.80   0.0314  -0.1401  -0.1085
20.90   0.0325  -0.1410  -0.1085
21.00   0.0335  -0.1420  -0.1084
21.10   0.0347  -0.1430  -0.1083
21.20   0.0357  -0.1440  -0.1083
21.30   0.0368  -0.1450  -0.1082
21.40   0.0379  -0.1460  -0.1081
21.50   0.0390  -0.1472  -0.1079
21.60   0.0404  -0.1482  -0.1078
21.70   0.0416  -0.1494  -0.1077
21.80   0.0429  -0.1506  -0.1076
21.90   0.0442  -0.1518  -0.1073
22.00   0.0456  -0.1531  -0.1073
22.10   0.0471  -0.1541  -0.1069
22.20   0.0489  -0.1550  -0.1063
22.30   0.0504  -0.1561  -0.1058
22.40   0.0520  -0.1572  -0.1052
22.50   0.0535  -0.1582  -0.1046
22.60   0.0553  -0.1594  -0.1041
22.70   0.0570  -0.1605  -0.1034
22.80   0.0589  -0.1615  -0.1028
22.90   0.0607  -0.1625  -0.1019
23.00   0.0625  -0.1636  -0.1013
23.10   0.0644  -0.1649  -0.1006
23.20   0.0664  -0.1661  -0.0998
23.30   0.0684  -0.1673  -0.0988
23.40   0.0704  -0.1684  -0.0980
23.50   0.0724  -0.1696  -0.0972
23.60   0.0745  -0.1707  -0.0961
23.70   0.0766  -0.1719  -0.0951
23.80   0.0787  -0.1728  -0.0941
23.90   0.0808  -0.1738  -0.0928
24.00   0.0830  -0.1748  -0.0916
24.10   0.0852  -0.1756  -0.0904
24.20   0.0874  -0.1764  -0.0891
24.30   0.0897  -0.1773  -0.0877
24.40   0.0919  -0.1783  -0.0863
24.50   0.0941  -0.1790  -0.0847
24.60   0.0963  -0.1796  -0.0834
24.70   0.0984  -0.1803  -0.0818
24.80   0.1005  -0.1808  -0.0802
24.90   0.1028  -0.1813  -0.0784
25.00   0.1050  -0.1815  -0.0764
25.10   0.1071  -0.1816  -0.0744
25.20   0.1093  -0.1815  -0.0723
25.30   0.1115  -0.1818  -0.0701
25.40   0.1136  -0.1817  -0.0680
25.50   0.1157  -0.1815  -0.0658
25.60   0.1179  -0.1814  -0.0636
25.70   0.1201  -0.1815  -0.0613
25.80   0.1220  -0.1813  -0.0592
25.90   0.1240  -0.1811  -0.0570
26.00   0.1261  -0.1807  -0.0547
26.10   0.1280  -0.1804  -0.0523
26.20   0.1300  -0.1801  -0.0501
26.30   0.1320  -0.1797  -0.0480
26.40   0.1339  -0.1795  -0.0457
26.50   0.1362  -0.1797  -0.0435
26.60   0.1387  -0.1798  -0.0412
26.70   0.1409  -0.1799  -0.0391
26.80   0.1433  -0.1801  -0.0368
26.90   0.1458  -0.1802  -0.0344
27.00   0.1481  -0.1802  -0.0323
27.10   0.1502  -0.1802  -0.0300
27.20   0.1526  -0.1803  -0.0277
27.30   0.1549  -0.1802  -0.0254
27.40   0.1570  -0.1802  -0.0230
27.50   0.1592  -0.1800  -0.0208
27.60   0.1612  -0.1798  -0.0185
27.70   0.1632  -0.1796  -0.0162
27.80   0.1654  -0.1793  -0.0140
27.90   0.1673  -0.1788  -0.0116
28.00   0.1692  -0.1782  -0.0091
28.10   0.1708  -0.1778  -0.0068
28.20   0.1726  -0.1770  -0.0044
28.30   0.1743  -0.1764  -0.0020
28.40   0.1759  -0.1756   0.0003
28.50   0.1773  -0.1749   0.0027
28.60   0.1790  -0.1740   0.0050
28.70   0.1802  -0.1730   0.0071
28.80   0.1815  -0.1722   0.0093
28.90   0.1827  -0.1713   0.0115
29.00   0.1842  -0.1703   0.0137
29.10   0.1850  -0.1694   0.0157
29.20   0.1862  -0.1685   0.0179
29.30   0.1873  -0.1675   0.0197
29.40   0.1881  -0.1664   0.0217
29.50   0.1891  -0.1654   0.0237
29.60   0.1897  -0.1644   0.0255
29.70   0.1906  -0.1634   0.0272
29.80   0.1912  -0.1621   0.0290
29.90   0.1920  -0.1611   0.0307
30.00   0.1922  -0.1600   0.0323
