     height (km) solar hr (K/day)    IR hr (K/day)   Net hr (K/day)
15.50   0.1791  -0.0348   0.1449
15.60   0.1636  -0.0293   0.1339
15.70   0.1482  -0.0233   0.1252
15.80   0.1309  -0.0091   0.1221
15.90   0.1175   0.0033   0.1207
16.00   0.1063   0.0052   0.1114
16.10   0.0934   0.0135   0.1069
16.20   0.0858   0.0071   0.0928
16.30   0.0753   0.0065   0.0816
16.40   0.0644   0.0046   0.0689
16.50   0.0570   0.0012   0.0582
16.60   0.0499  -0.0033   0.0465
16.70   0.0429  -0.0133   0.0294
16.80   0.0384  -0.0238   0.0140
16.90   0.0321  -0.0360  -0.0042
17.00   0.0265  -0.0533  -0.0269
17.10   0.0216  -0.0587  -0.0372
17.20   0.0167  -0.0597  -0.0431
17.30   0.0129  -0.0638  -0.0507
17.40   0.0115  -0.0668  -0.0552
17.50   0.0111  -0.0688  -0.0580
17.60   0.0101  -0.0704  -0.0605
17.70   0.0089  -0.0719  -0.0629
17.80   0.0090  -0.0757  -0.0665
17.90   0.0091  -0.0786  -0.0696
18.00   0.0085  -0.0790  -0.0703
18.10   0.0087  -0.0809  -0.0722
18.20   0.0091  -0.0829  -0.0738
18.30   0.0096  -0.0856  -0.0761
18.40   0.0103  -0.0884  -0.0783
18.50   0.0108  -0.0915  -0.0806
18.60   0.0117  -0.0943  -0.0827
18.70   0.0121  -0.0963  -0.0840
18.80   0.0126  -0.0978  -0.0852
18.90   0.0131  -0.0994  -0.0862
19.00   0.0136  -0.1010  -0.0872
19.10   0.0143  -0.1026  -0.0884
19.20   0.0149  -0.1045  -0.0897
19.30   0.0155  -0.1063  -0.0907
19.40   0.0164  -0.1081  -0.0920
19.50   0.0170  -0.1103  -0.0932
19.60   0.0179  -0.1125  -0.0947
19.70   0.0188  -0.1148  -0.0960
19.80   0.0196  -0.1173  -0.0975
19.90   0.0206  -0.1196  -0.0990
20.00   0.0216  -0.1223  -0.1005
20.10   0.0228  -0.1250  -0.1021
20.20   0.0239  -0.1278  -0.1037
20.30   0.0252  -0.1305  -0.1053
20.40   0.0263  -0.1333  -0.1068
20.50   0.0276  -0.1359  -0.1083
20.60   0.0287  -0.1381  -0.1092
20.70   0.0296  -0.1386  -0.1090
20.80   0.0303  -0.1388  -0.1084
20.90   0.0310  -0.1388  -0.1077
