     height (km) solar hr (K/day)    IR hr (K/day)   Net hr (K/day)
15.60   0.0720   0.0268   0.0988
15.70   0.0656   0.0272   0.0929
15.80   0.0590   0.0273   0.0863
15.90   0.0532   0.0274   0.0806
16.00   0.0481   0.0256   0.0737
16.10   0.0426   0.0250   0.0676
16.20   0.0387   0.0212   0.0598
16.30   0.0345   0.0175   0.0519
16.40   0.0303   0.0134   0.0437
16.50   0.0273   0.0083   0.0356
16.60   0.0245   0.0024   0.0269
16.70   0.0216  -0.0032   0.0183
16.80   0.0194  -0.0092   0.0101
16.90   0.0166  -0.0150   0.0016
17.00   0.0140  -0.0214  -0.0075
17.10   0.0117  -0.0254  -0.0138
17.20   0.0096  -0.0280  -0.0185
17.30   0.0079  -0.0318  -0.0239
17.40   0.0068  -0.0335  -0.0267
17.50   0.0062  -0.0356  -0.0294
17.60   0.0055  -0.0369  -0.0314
17.70   0.0052  -0.0384  -0.0331
17.80   0.0052  -0.0400  -0.0348
17.90   0.0052  -0.0411  -0.0359
18.00   0.0052  -0.0422  -0.0369
18.10   0.0055  -0.0435  -0.0380
18.20   0.0058  -0.0449  -0.0392
18.30   0.0062  -0.0464  -0.0403
18.40   0.0066  -0.0481  -0.0415
18.50   0.0070  -0.0497  -0.0427
18.60   0.0075  -0.0512  -0.0438
18.70   0.0078  -0.0521  -0.0443
18.80   0.0080  -0.0528  -0.0447
18.90   0.0083  -0.0534  -0.0451
19.00   0.0086  -0.0542  -0.0455
19.10   0.0090  -0.0550  -0.0460
19.20   0.0093  -0.0559  -0.0465
19.30   0.0097  -0.0568  -0.0470
19.40   0.0102  -0.0578  -0.0477
19.50   0.0107  -0.0590  -0.0483
19.60   0.0112  -0.0602  -0.0490
19.70   0.0118  -0.0616  -0.0498
19.80   0.0124  -0.0631  -0.0506
19.90   0.0131  -0.0646  -0.0515
20.00   0.0138  -0.0663  -0.0525
20.10   0.0146  -0.0680  -0.0534
20.20   0.0154  -0.0698  -0.0543
20.30   0.0163  -0.0716  -0.0553
20.40   0.0172  -0.0735  -0.0563
20.50   0.0181  -0.0754  -0.0572
20.60   0.0191  -0.0770  -0.0579
20.70   0.0198  -0.0779  -0.0581
20.80   0.0205  -0.0786  -0.0581
20.90   0.0212  -0.0792  -0.0580
21.00   0.0219  -0.0799  -0.0579
21.10   0.0227  -0.0806  -0.0579
21.20   0.0234  -0.0813  -0.0578
21.30   0.0243  -0.0821  -0.0578
21.40   0.0251  -0.0829  -0.0578
21.50   0.0259  -0.0837  -0.0577
21.60   0.0269  -0.0846  -0.0577
21.70   0.0279  -0.0855  -0.0576
21.80   0.0289  -0.0864  -0.0576
21.90   0.0300  -0.0874  -0.0575
22.00   0.0310  -0.0884  -0.0574
22.10   0.0321  -0.0893  -0.0571
22.20   0.0334  -0.0902  -0.0568
22.30   0.0346  -0.0911  -0.0565
22.40   0.0358  -0.0920  -0.0562
22.50   0.0372  -0.0931  -0.0559
22.60   0.0385  -0.0941  -0.0555
22.70   0.0399  -0.0951  -0.0552
22.80   0.0414  -0.0961  -0.0548
22.90   0.0428  -0.0972  -0.0543
23.00   0.0443  -0.0982  -0.0538
23.10   0.0459  -0.0992  -0.0533
23.20   0.0474  -0.1003  -0.0528
23.30   0.0491  -0.1013  -0.0522
23.40   0.0507  -0.1024  -0.0516
23.50   0.0524  -0.1034  -0.0510
23.60   0.0541  -0.1044  -0.0503
23.70   0.0559  -0.1055  -0.0496
