     height (km) solar hr (K/day)    IR hr (K/day)   Net hr (K/day)
15.60   0.1406   0.0609   0.2015
15.70   0.1287   0.0578   0.1866
15.80   0.1165   0.0519   0.1684
15.90   0.1028   0.0548   0.1577
16.00   0.0914   0.0476   0.1391
16.10   0.0781   0.0384   0.1167
16.20   0.0665   0.0361   0.1022
16.30   0.0574   0.0223   0.0793
16.40   0.0442   0.0153   0.0593
16.50   0.0372   0.0010   0.0380
16.60   0.0315  -0.0098   0.0218
16.70   0.0236  -0.0195   0.0045
16.80   0.0192  -0.0291  -0.0097
16.90   0.0143  -0.0369  -0.0223
17.00   0.0112  -0.0480  -0.0366
17.10   0.0087  -0.0528  -0.0442
17.20   0.0067  -0.0570  -0.0503
17.30   0.0058  -0.0604  -0.0546
17.40   0.0056  -0.0615  -0.0560
17.50   0.0057  -0.0626  -0.0569
17.60   0.0059  -0.0640  -0.0580
17.70   0.0062  -0.0653  -0.0591
17.80   0.0066  -0.0668  -0.0600
17.90   0.0071  -0.0684  -0.0614
18.00   0.0075  -0.0703  -0.0628
18.10   0.0080  -0.0722  -0.0643
18.20   0.0084  -0.0743  -0.0658
18.30   0.0089  -0.0763  -0.0673
18.40   0.0095  -0.0787  -0.0690
18.50   0.0100  -0.0808  -0.0708
18.60   0.0106  -0.0832  -0.0724
18.70   0.0112  -0.0849  -0.0736
18.80   0.0118  -0.0860  -0.0746
18.90   0.0120  -0.0871  -0.0752
19.00   0.0125  -0.0883  -0.0757
19.10   0.0130  -0.0897  -0.0764
19.20   0.0134  -0.0908  -0.0774
19.30   0.0140  -0.0920  -0.0780
19.40   0.0145  -0.0933  -0.0787
19.50   0.0153  -0.0945  -0.0793
19.60   0.0159  -0.0960  -0.0802
19.70   0.0163  -0.0977  -0.0810
19.80   0.0174  -0.0992  -0.0820
19.90   0.0180  -0.1008  -0.0828
20.00   0.0188  -0.1025  -0.0838
20.10   0.0198  -0.1043  -0.0846
20.20   0.0206  -0.1061  -0.0856
20.30   0.0213  -0.1080  -0.0865
20.40   0.0225  -0.1100  -0.0875
20.50   0.0237  -0.1121  -0.0885
20.60   0.0249  -0.1140  -0.0893
20.70   0.0258  -0.1155  -0.0898
20.80   0.0266  -0.1163  -0.0898
20.90   0.0272  -0.1168  -0.0894
21.00   0.0280  -0.1171  -0.0890
21.10   0.0291  -0.1176  -0.0887
21.20   0.0295  -0.1181  -0.0885
21.30   0.0305  -0.1187  -0.0881
21.40   0.0315  -0.1191  -0.0877
21.50   0.0321  -0.1198  -0.0875
21.60   0.0332  -0.1204  -0.0873
21.70   0.0342  -0.1213  -0.0870
21.80   0.0351  -0.1221  -0.0869
21.90   0.0361  -0.1230  -0.0866
22.00   0.0372  -0.1239  -0.0865
22.10   0.0385  -0.1248  -0.0863
22.20   0.0396  -0.1255  -0.0858
22.30   0.0410  -0.1262  -0.0853
22.40   0.0422  -0.1271  -0.0849
22.50   0.0436  -0.1280  -0.0843
22.60   0.0450  -0.1289  -0.0838
22.70   0.0464  -0.1298  -0.0835
22.80   0.0478  -0.1306  -0.0829
22.90   0.0494  -0.1318  -0.0823
23.00   0.0508  -0.1327  -0.0819
23.10   0.0524  -0.1338  -0.0814
23.20   0.0540  -0.1348  -0.0807
23.30   0.0557  -0.1358  -0.0802
23.40   0.0574  -0.1369  -0.0796
23.50   0.0591  -0.1380  -0.0788
23.60   0.0609  -0.1390  -0.0781
23.70   0.0627  -0.1399  -0.0775
23.80   0.0644  -0.1410  -0.0766
23.90   0.0663  -0.1422  -0.0757
24.00   0.0683  -0.1433  -0.0749
24.10   0.0702  -0.1441  -0.0741
24.20   0.0718  -0.1451  -0.0730
24.30   0.0738  -0.1460  -0.0720
24.40   0.0758  -0.1469  -0.0711
24.50   0.0777  -0.1477  -0.0700
24.60   0.0797  -0.1485  -0.0688
24.70   0.0815  -0.1492  -0.0676
24.80   0.0835  -0.1500  -0.0664
24.90   0.0853  -0.1505  -0.0650
25.00   0.0872  -0.1511  -0.0637
25.10   0.0892  -0.1513  -0.0621
25.20   0.0911  -0.1516  -0.0604
25.30   0.0932  -0.1517  -0.0587
25.40   0.0949  -0.1519  -0.0568
25.50   0.0967  -0.1520  -0.0552
25.60   0.0987  -0.1520  -0.0533
25.70   0.1006  -0.1519  -0.0516
25.80   0.1022  -0.1519  -0.0498
25.90   0.1040  -0.1517  -0.0478
26.00   0.1058  -0.1515  -0.0458
26.10   0.1075  -0.1515  -0.0441
26.20   0.1091  -0.1514  -0.0421
26.30   0.1107  -0.1511  -0.0401
26.40   0.1125  -0.1507  -0.0382
26.50   0.1142  -0.1506  -0.0364
26.60   0.1160  -0.1504  -0.0345
26.70   0.1179  -0.1503  -0.0326
26.80   0.1199  -0.1504  -0.0305
26.90   0.1216  -0.1504  -0.0287
27.00   0.1238  -0.1504  -0.0267
27.10   0.1255  -0.1503  -0.0248
27.20   0.1275  -0.1502  -0.0228
27.30   0.1293  -0.1502  -0.0208
27.40   0.1311  -0.1500  -0.0189
27.50   0.1329  -0.1498  -0.0170
27.60   0.1346  -0.1496  -0.0149
27.70   0.1362  -0.1493  -0.0130
27.80   0.1380  -0.1491  -0.0110
27.90   0.1394  -0.1486  -0.0092
28.00   0.1411  -0.1482  -0.0072
28.10   0.1425  -0.1476  -0.0053
28.20   0.1440  -0.1471  -0.0032
