     height (km) solar hr (K/day)    IR hr (K/day)   Net hr (K/day)
15.60   0.0530   0.0306   0.0836
15.70   0.0481   0.0284   0.0765
15.80   0.0431   0.0256   0.0688
15.90   0.0382   0.0236   0.0618
16.00   0.0344   0.0198   0.0542
16.10   0.0303   0.0156   0.0459
16.20   0.0266   0.0119   0.0384
16.30   0.0232   0.0078   0.0310
16.40   0.0197   0.0030   0.0227
16.50   0.0170  -0.0015   0.0154
16.60   0.0147  -0.0056   0.0092
16.70   0.0123  -0.0091   0.0032
16.80   0.0105  -0.0122  -0.0017
16.90   0.0087  -0.0162  -0.0075
17.00   0.0072  -0.0199  -0.0127
17.10   0.0061  -0.0223  -0.0162
17.20   0.0053  -0.0244  -0.0191
17.30   0.0048  -0.0265  -0.0217
17.40   0.0046  -0.0292  -0.0246
17.50   0.0045  -0.0310  -0.0265
17.60   0.0045  -0.0327  -0.0282
17.70   0.0045  -0.0343  -0.0297
17.80   0.0048  -0.0353  -0.0305
17.90   0.0049  -0.0365  -0.0315
18.00   0.0052  -0.0375  -0.0323
18.10   0.0055  -0.0386  -0.0331
18.20   0.0058  -0.0397  -0.0339
18.30   0.0061  -0.0408  -0.0346
18.40   0.0065  -0.0418  -0.0353
18.50   0.0069  -0.0430  -0.0361
18.60   0.0073  -0.0441  -0.0367
18.70   0.0077  -0.0450  -0.0373
18.80   0.0080  -0.0456  -0.0376
18.90   0.0082  -0.0461  -0.0378
19.00   0.0086  -0.0466  -0.0380
19.10   0.0089  -0.0472  -0.0382
19.20   0.0093  -0.0478  -0.0385
19.30   0.0096  -0.0483  -0.0387
19.40   0.0100  -0.0489  -0.0389
19.50   0.0104  -0.0495  -0.0391
19.60   0.0109  -0.0502  -0.0393
19.70   0.0113  -0.0509  -0.0395
19.80   0.0118  -0.0516  -0.0398
19.90   0.0124  -0.0524  -0.0401
20.00   0.0130  -0.0532  -0.0403
20.10   0.0136  -0.0541  -0.0405
20.20   0.0142  -0.0550  -0.0409
20.30   0.0148  -0.0559  -0.0411
20.40   0.0155  -0.0568  -0.0413
20.50   0.0162  -0.0578  -0.0415
20.60   0.0170  -0.0587  -0.0418
20.70   0.0177  -0.0596  -0.0418
20.80   0.0183  -0.0600  -0.0417
20.90   0.0189  -0.0603  -0.0414
21.00   0.0194  -0.0606  -0.0411
21.10   0.0201  -0.0609  -0.0408
21.20   0.0206  -0.0612  -0.0406
21.30   0.0212  -0.0615  -0.0402
21.40   0.0219  -0.0618  -0.0399
21.50   0.0225  -0.0621  -0.0396
21.60   0.0232  -0.0625  -0.0393
21.70   0.0239  -0.0629  -0.0390
21.80   0.0246  -0.0632  -0.0387
21.90   0.0254  -0.0637  -0.0383
22.00   0.0261  -0.0641  -0.0380
22.10   0.0269  -0.0646  -0.0376
22.20   0.0279  -0.0649  -0.0371
22.30   0.0287  -0.0653  -0.0365
22.40   0.0296  -0.0656  -0.0360
22.50   0.0305  -0.0660  -0.0355
22.60   0.0315  -0.0664  -0.0349
22.70   0.0324  -0.0668  -0.0343
22.80   0.0335  -0.0672  -0.0337
22.90   0.0345  -0.0676  -0.0331
23.00   0.0355  -0.0680  -0.0325
23.10   0.0366  -0.0684  -0.0318
23.20   0.0377  -0.0688  -0.0312
23.30   0.0388  -0.0693  -0.0305
23.40   0.0399  -0.0697  -0.0298
23.50   0.0411  -0.0701  -0.0290
23.60   0.0422  -0.0705  -0.0283
23.70   0.0434  -0.0709  -0.0275
23.80   0.0446  -0.0713  -0.0268
23.90   0.0458  -0.0718  -0.0259
24.00   0.0471  -0.0721  -0.0250
24.10   0.0484  -0.0724  -0.0242
24.20   0.0496  -0.0728  -0.0232
24.30   0.0508  -0.0731  -0.0223
24.40   0.0521  -0.0735  -0.0214
24.50   0.0534  -0.0737  -0.0204
24.60   0.0546  -0.0740  -0.0194
24.70   0.0558  -0.0743  -0.0184
24.80   0.0571  -0.0745  -0.0174
24.90   0.0584  -0.0747  -0.0164
