     height (km) solar hr (K/day)    IR hr (K/day)   Net hr (K/day)
15.60   0.0723   0.0132   0.0855
15.70   0.0657   0.0145   0.0802
15.80   0.0592   0.0162   0.0754
15.90   0.0533   0.0178   0.0710
16.00   0.0485   0.0174   0.0660
16.10   0.0438   0.0167   0.0605
16.20   0.0399   0.0147   0.0545
16.30   0.0361   0.0122   0.0483
16.40   0.0323   0.0092   0.0415
16.50   0.0289   0.0056   0.0345
16.60   0.0260   0.0018   0.0277
16.70   0.0228  -0.0025   0.0203
16.80   0.0203  -0.0059   0.0144
16.90   0.0178  -0.0096   0.0082
17.00   0.0155  -0.0143   0.0012
17.10   0.0135  -0.0180  -0.0045
17.20   0.0115  -0.0207  -0.0092
17.30   0.0100  -0.0244  -0.0144
17.40   0.0089  -0.0273  -0.0184
17.50   0.0079  -0.0303  -0.0223
17.60   0.0073  -0.0329  -0.0257
17.70   0.0068  -0.0353  -0.0285
17.80   0.0066  -0.0378  -0.0312
17.90   0.0064  -0.0397  -0.0333
18.00   0.0065  -0.0416  -0.0352
18.10   0.0066  -0.0434  -0.0368
18.20   0.0069  -0.0453  -0.0384
18.30   0.0072  -0.0470  -0.0398
18.40   0.0076  -0.0487  -0.0411
18.50   0.0081  -0.0504  -0.0423
18.60   0.0086  -0.0520  -0.0434
18.70   0.0089  -0.0530  -0.0441
18.80   0.0092  -0.0538  -0.0446
18.90   0.0096  -0.0545  -0.0449
19.00   0.0100  -0.0553  -0.0453
19.10   0.0104  -0.0561  -0.0457
19.20   0.0108  -0.0570  -0.0462
19.30   0.0113  -0.0578  -0.0466
19.40   0.0117  -0.0588  -0.0470
19.50   0.0123  -0.0598  -0.0475
19.60   0.0129  -0.0609  -0.0480
19.70   0.0135  -0.0621  -0.0486
19.80   0.0141  -0.0633  -0.0492
19.90   0.0149  -0.0646  -0.0498
20.00   0.0156  -0.0660  -0.0504
20.10   0.0164  -0.0673  -0.0510
20.20   0.0172  -0.0688  -0.0516
20.30   0.0181  -0.0703  -0.0522
20.40   0.0190  -0.0718  -0.0528
20.50   0.0200  -0.0734  -0.0534
20.60   0.0209  -0.0747  -0.0538
20.70   0.0217  -0.0755  -0.0538
20.80   0.0224  -0.0760  -0.0537
20.90   0.0230  -0.0765  -0.0534
21.00   0.0237  -0.0770  -0.0532
21.10   0.0245  -0.0774  -0.0530
21.20   0.0252  -0.0780  -0.0527
21.30   0.0260  -0.0785  -0.0525
21.40   0.0268  -0.0791  -0.0522
21.50   0.0276  -0.0797  -0.0520
21.60   0.0285  -0.0803  -0.0518
21.70   0.0295  -0.0810  -0.0515
21.80   0.0304  -0.0816  -0.0512
21.90   0.0314  -0.0824  -0.0509
22.00   0.0325  -0.0831  -0.0506
22.10   0.0336  -0.0838  -0.0502
22.20   0.0347  -0.0844  -0.0497
22.30   0.0359  -0.0851  -0.0492
22.40   0.0371  -0.0858  -0.0486
22.50   0.0384  -0.0865  -0.0481
22.60   0.0397  -0.0872  -0.0475
22.70   0.0410  -0.0879  -0.0470
22.80   0.0424  -0.0887  -0.0463
22.90   0.0438  -0.0895  -0.0457
23.00   0.0452  -0.0903  -0.0450
23.10   0.0467  -0.0910  -0.0443
23.20   0.0482  -0.0918  -0.0436
23.30   0.0498  -0.0926  -0.0428
23.40   0.0514  -0.0934  -0.0420
23.50   0.0530  -0.0942  -0.0412
23.60   0.0547  -0.0949  -0.0403
23.70   0.0563  -0.0957  -0.0394
23.80   0.0580  -0.0964  -0.0385
23.90   0.0597  -0.0972  -0.0375
24.00   0.0615  -0.0979  -0.0364
24.10   0.0632  -0.0985  -0.0354
24.20   0.0650  -0.0992  -0.0342
24.30   0.0667  -0.0998  -0.0331
24.40   0.0685  -0.1005  -0.0319
24.50   0.0703  -0.1010  -0.0307
24.60   0.0721  -0.1016  -0.0294
24.70   0.0738  -0.1020  -0.0282
24.80   0.0756  -0.1025  -0.0268
24.90   0.0774  -0.1028  -0.0254
25.00   0.0791  -0.1030  -0.0239
25.10   0.0808  -0.1031  -0.0223
25.20   0.0825  -0.1033  -0.0207
25.30   0.0842  -0.1033  -0.0191
25.40   0.0859  -0.1034  -0.0174
25.50   0.0876  -0.1034  -0.0158
25.60   0.0892  -0.1034  -0.0141
25.70   0.0909  -0.1033  -0.0124
25.80   0.0924  -0.1033  -0.0108
25.90   0.0940  -0.1032  -0.0091
26.00   0.0956  -0.1030  -0.0075
26.10   0.0971  -0.1029  -0.0058
26.20   0.0986  -0.1027  -0.0041
26.30   0.1001  -0.1026  -0.0025
26.40   0.1017  -0.1025  -0.0008
26.50   0.1033  -0.1025   0.0009
26.60   0.1050  -0.1024   0.0026
26.70   0.1067  -0.1024   0.0043
26.80   0.1084  -0.1024   0.0060
26.90   0.1101  -0.1024   0.0077
27.00   0.1118  -0.1023   0.0094
27.10   0.1134  -0.1023   0.0111
27.20   0.1150  -0.1022   0.0128
27.30   0.1166  -0.1021   0.0145
27.40   0.1181  -0.1019   0.0162
27.50   0.1197  -0.1018   0.0179
27.60   0.1212  -0.1016   0.0196
27.70   0.1226  -0.1014   0.0212
27.80   0.1240  -0.1011   0.0229
27.90   0.1253  -0.1008   0.0245
28.00   0.1266  -0.1004   0.0262
28.10   0.1279  -0.1001   0.0279
28.20   0.1291  -0.0996   0.0295
28.30   0.1303  -0.0992   0.0311
28.40   0.1315  -0.0987   0.0327
28.50   0.1325  -0.0983   0.0343
28.60   0.1335  -0.0978   0.0358
28.70   0.1346  -0.0973   0.0373
28.80   0.1355  -0.0968   0.0388
28.90   0.1364  -0.0962   0.0402
29.00   0.1373  -0.0957   0.0416
29.10   0.1381  -0.0951   0.0429
29.20   0.1389  -0.0946   0.0443
29.30   0.1396  -0.0940   0.0456
29.40   0.1402  -0.0934   0.0468
29.50   0.1409  -0.0929   0.0480
29.60   0.1415  -0.0923   0.0492
29.70   0.1420  -0.0917   0.0503
29.80   0.1425  -0.0911   0.0514
29.90   0.1430  -0.0905   0.0525
30.00   0.1434  -0.0899   0.0536
