     height (km) solar hr (K/day)    IR hr (K/day)   Net hr (K/day)
15.50   0.1132   0.0102   0.1235
15.60   0.1036   0.0147   0.1184
15.70   0.0948   0.0206   0.1154
15.80   0.0863   0.0284   0.1147
15.90   0.0790   0.0350   0.1140
16.00   0.0737   0.0372   0.1109
16.10   0.0688   0.0385   0.1073
16.20   0.0646   0.0392   0.1039
16.30   0.0603   0.0399   0.1001
16.40   0.0561   0.0394   0.0955
16.50   0.0522   0.0362   0.0883
16.60   0.0479   0.0331   0.0809
16.70   0.0436   0.0275   0.0711
16.80   0.0393   0.0247   0.0639
16.90   0.0351   0.0210   0.0561
17.00   0.0313   0.0141   0.0454
17.10   0.0279   0.0074   0.0353
17.20   0.0239   0.0026   0.0265
17.30   0.0208  -0.0055   0.0152
17.40   0.0179  -0.0116   0.0063
17.50   0.0152  -0.0182  -0.0030
17.60   0.0133  -0.0244  -0.0110
17.70   0.0120  -0.0298  -0.0178
17.80   0.0109  -0.0358  -0.0250
17.90   0.0097  -0.0400  -0.0303
18.00   0.0092  -0.0440  -0.0349
18.10   0.0088  -0.0475  -0.0387
18.20   0.0088  -0.0509  -0.0420
18.30   0.0091  -0.0537  -0.0446
18.40   0.0095  -0.0560  -0.0466
18.50   0.0099  -0.0584  -0.0485
18.60   0.0105  -0.0604  -0.0500
18.70   0.0108  -0.0618  -0.0510
18.80   0.0112  -0.0628  -0.0516
18.90   0.0116  -0.0638  -0.0521
19.00   0.0121  -0.0647  -0.0527
19.10   0.0126  -0.0658  -0.0532
19.20   0.0131  -0.0668  -0.0537
19.30   0.0137  -0.0679  -0.0542
19.40   0.0143  -0.0690  -0.0547
19.50   0.0149  -0.0701  -0.0553
19.60   0.0156  -0.0714  -0.0558
19.70   0.0164  -0.0727  -0.0563
19.80   0.0172  -0.0741  -0.0569
19.90   0.0180  -0.0754  -0.0575
20.00   0.0188  -0.0769  -0.0581
20.10   0.0197  -0.0784  -0.0586
20.20   0.0207  -0.0800  -0.0592
20.30   0.0218  -0.0815  -0.0597
20.40   0.0229  -0.0831  -0.0603
20.50   0.0239  -0.0847  -0.0607
20.60   0.0249  -0.0858  -0.0608
20.70   0.0257  -0.0862  -0.0605
20.80   0.0263  -0.0864  -0.0601
20.90   0.0271  -0.0867  -0.0596
21.00   0.0278  -0.0869  -0.0591
21.10   0.0285  -0.0871  -0.0586
21.20   0.0294  -0.0875  -0.0582
21.30   0.0301  -0.0878  -0.0577
21.40   0.0310  -0.0883  -0.0572
21.50   0.0319  -0.0887  -0.0568
21.60   0.0329  -0.0892  -0.0564
21.70   0.0339  -0.0898  -0.0559
21.80   0.0349  -0.0904  -0.0555
21.90   0.0360  -0.0911  -0.0551
22.00   0.0372  -0.0917  -0.0546
22.10   0.0385  -0.0924  -0.0539
22.20   0.0397  -0.0930  -0.0533
22.30   0.0410  -0.0937  -0.0526
22.40   0.0425  -0.0944  -0.0520
22.50   0.0439  -0.0952  -0.0513
22.60   0.0454  -0.0960  -0.0507
22.70   0.0469  -0.0968  -0.0499
22.80   0.0485  -0.0977  -0.0492
22.90   0.0501  -0.0986  -0.0484
23.00   0.0519  -0.0995  -0.0476
23.10   0.0536  -0.1004  -0.0468
23.20   0.0554  -0.1014  -0.0459
23.30   0.0572  -0.1023  -0.0451
23.40   0.0591  -0.1033  -0.0442
23.50   0.0610  -0.1042  -0.0432
23.60   0.0630  -0.1052  -0.0422
23.70   0.0650  -0.1061  -0.0412
23.80   0.0669  -0.1070  -0.0401
23.90   0.0690  -0.1078  -0.0389
24.00   0.0710  -0.1086  -0.0377
24.10   0.0730  -0.1094  -0.0364
24.20   0.0750  -0.1102  -0.0351
24.30   0.0771  -0.1109  -0.0338
24.40   0.0792  -0.1117  -0.0324
24.50   0.0813  -0.1123  -0.0310
24.60   0.0834  -0.1130  -0.0295
24.70   0.0855  -0.1136  -0.0281
24.80   0.0876  -0.1141  -0.0264
24.90   0.0897  -0.1144  -0.0247
25.00   0.0917  -0.1147  -0.0229
25.10   0.0938  -0.1149  -0.0211
25.20   0.0958  -0.1152  -0.0193
25.30   0.0979  -0.1153  -0.0174
25.40   0.1000  -0.1155  -0.0155
25.50   0.1020  -0.1156  -0.0136
25.60   0.1040  -0.1157  -0.0117
25.70   0.1060  -0.1158  -0.0098
25.80   0.1079  -0.1158  -0.0079
25.90   0.1099  -0.1159  -0.0060
26.00   0.1118  -0.1158  -0.0041
26.10   0.1137  -0.1158  -0.0021
26.20   0.1156  -0.1158  -0.0001
26.30   0.1176  -0.1158   0.0017
26.40   0.1197  -0.1160   0.0038
26.50   0.1219  -0.1162   0.0057
26.60   0.1240  -0.1164   0.0077
26.70   0.1262  -0.1165   0.0097
26.80   0.1283  -0.1166   0.0118
26.90   0.1305  -0.1167   0.0138
27.00   0.1326  -0.1168   0.0158
27.10   0.1347  -0.1168   0.0178
27.20   0.1367  -0.1169   0.0199
27.30   0.1387  -0.1169   0.0218
27.40   0.1407  -0.1169   0.0239
27.50   0.1426  -0.1167   0.0258
27.60   0.1446  -0.1167   0.0279
27.70   0.1464  -0.1165   0.0299
27.80   0.1481  -0.1163   0.0319
27.90   0.1499  -0.1160   0.0339
28.00   0.1516  -0.1156   0.0360
28.10   0.1532  -0.1153   0.0380
28.20   0.1548  -0.1148   0.0399
28.30   0.1564  -0.1144   0.0419
28.40   0.1578  -0.1140   0.0438
28.50   0.1592  -0.1135   0.0457
28.60   0.1605  -0.1130   0.0475
28.70   0.1619  -0.1125   0.0493
28.80   0.1631  -0.1120   0.0511
28.90   0.1643  -0.1115   0.0529
29.00   0.1655  -0.1109   0.0546
29.10   0.1666  -0.1104   0.0562
29.20   0.1677  -0.1098   0.0578
29.30   0.1686  -0.1092   0.0594
29.40   0.1694  -0.1086   0.0609
29.50   0.1703  -0.1080   0.0624
29.60   0.1711  -0.1074   0.0638
29.70   0.1720  -0.1068   0.0652
29.80   0.1727  -0.1062   0.0666
29.90   0.1734  -0.1055   0.0679
30.00   0.1741  -0.1048   0.0692
