     height (km) solar hr (K/day)    IR hr (K/day)   Net hr (K/day)
15.50   0.3525  -0.0340   0.3184
15.60   0.3262  -0.0264   0.2998
15.70   0.3003  -0.0077   0.2929
15.80   0.2758   0.0192   0.2948
15.90   0.2557   0.0437   0.2994
16.00   0.2424   0.0492   0.2913
16.10   0.2306   0.0497   0.2804
16.20   0.2172   0.0518   0.2692
16.30   0.2011   0.0608   0.2620
16.40   0.1881   0.0693   0.2573
16.50   0.1717   0.0702   0.2417
16.60   0.1556   0.0655   0.2211
16.70   0.1425   0.0477   0.1903
16.80   0.1274   0.0438   0.1711
16.90   0.1132   0.0353   0.1486
17.00   0.1010   0.0015   0.1024
17.10   0.0886  -0.0167   0.0718
17.20   0.0744  -0.0221   0.0522
17.30   0.0648  -0.0377   0.0272
17.40   0.0551  -0.0470   0.0080
17.50   0.0460  -0.0536  -0.0079
17.60   0.0390  -0.0603  -0.0213
17.70   0.0341  -0.0715  -0.0374
17.80   0.0286  -0.0848  -0.0561
17.90   0.0225  -0.0862  -0.0636
18.00   0.0192  -0.0916  -0.0724
18.10   0.0162  -0.0981  -0.0818
18.20   0.0152  -0.1088  -0.0937
18.30   0.0149  -0.1155  -0.1005
18.40   0.0157  -0.1214  -0.1060
18.50   0.0161  -0.1269  -0.1109
18.60   0.0169  -0.1311  -0.1143
18.70   0.0174  -0.1346  -0.1172
18.80   0.0179  -0.1373  -0.1193
18.90   0.0187  -0.1400  -0.1211
19.00   0.0197  -0.1426  -0.1230
19.10   0.0206  -0.1454  -0.1249
19.20   0.0216  -0.1479  -0.1266
19.30   0.0225  -0.1505  -0.1282
19.40   0.0235  -0.1533  -0.1296
19.50   0.0245  -0.1559  -0.1313
19.60   0.0256  -0.1586  -0.1329
19.70   0.0270  -0.1612  -0.1344
19.80   0.0281  -0.1641  -0.1359
19.90   0.0295  -0.1668  -0.1374
20.00   0.0307  -0.1696  -0.1389
20.10   0.0321  -0.1725  -0.1403
20.20   0.0335  -0.1752  -0.1416
20.30   0.0350  -0.1780  -0.1430
20.40   0.0365  -0.1808  -0.1442
20.50   0.0381  -0.1833  -0.1452
20.60   0.0393  -0.1848  -0.1454
20.70   0.0402  -0.1847  -0.1446
20.80   0.0408  -0.1843  -0.1433
20.90   0.0419  -0.1838  -0.1419
21.00   0.0426  -0.1832  -0.1406
21.10   0.0433  -0.1829  -0.1394
21.20   0.0445  -0.1827  -0.1383
21.30   0.0452  -0.1823  -0.1372
21.40   0.0462  -0.1825  -0.1361
21.50   0.0475  -0.1827  -0.1354
21.60   0.0484  -0.1830  -0.1347
21.70   0.0495  -0.1835  -0.1339
21.80   0.0507  -0.1843  -0.1334
21.90   0.0521  -0.1851  -0.1329
22.00   0.0537  -0.1858  -0.1323
22.10   0.0553  -0.1866  -0.1314
22.20   0.0568  -0.1874  -0.1307
22.30   0.0584  -0.1885  -0.1301
22.40   0.0602  -0.1896  -0.1295
22.50   0.0622  -0.1911  -0.1289
22.60   0.0638  -0.1924  -0.1285
22.70   0.0660  -0.1940  -0.1280
22.80   0.0682  -0.1956  -0.1275
22.90   0.0703  -0.1974  -0.1271
23.00   0.0727  -0.1992  -0.1265
23.10   0.0749  -0.2010  -0.1261
23.20   0.0773  -0.2030  -0.1256
23.30   0.0799  -0.2050  -0.1251
23.40   0.0825  -0.2071  -0.1246
23.50   0.0852  -0.2092  -0.1240
23.60   0.0879  -0.2114  -0.1235
23.70   0.0905  -0.2133  -0.1228
23.80   0.0934  -0.2152  -0.1220
23.90   0.0961  -0.2171  -0.1211
24.00   0.0990  -0.2190  -0.1203
24.10   0.1019  -0.2208  -0.1191
24.20   0.1046  -0.2225  -0.1179
24.30   0.1076  -0.2243  -0.1168
24.40   0.1106  -0.2261  -0.1156
24.50   0.1135  -0.2276  -0.1142
24.60   0.1165  -0.2292  -0.1127
24.70   0.1195  -0.2306  -0.1113
24.80   0.1224  -0.2317  -0.1094
24.90   0.1253  -0.2327  -0.1073
25.00   0.1282  -0.2335  -0.1052
25.10   0.1313  -0.2342  -0.1029
25.20   0.1343  -0.2349  -0.1008
25.30   0.1371  -0.2354  -0.0983
25.40   0.1400  -0.2360  -0.0959
25.50   0.1429  -0.2363  -0.0933
25.60   0.1459  -0.2368  -0.0909
25.70   0.1487  -0.2370  -0.0882
25.80   0.1513  -0.2372  -0.0857
25.90   0.1544  -0.2374  -0.0831
26.00   0.1571  -0.2376  -0.0805
26.10   0.1598  -0.2375  -0.0776
26.20   0.1624  -0.2376  -0.0749
26.30   0.1655  -0.2379  -0.0724
26.40   0.1685  -0.2384  -0.0696
26.50   0.1718  -0.2387  -0.0670
26.60   0.1749  -0.2393  -0.0643
26.70   0.1782  -0.2397  -0.0616
26.80   0.1812  -0.2400  -0.0588
26.90   0.1843  -0.2401  -0.0561
27.00   0.1874  -0.2405  -0.0533
27.10   0.1905  -0.2406  -0.0505
27.20   0.1934  -0.2408  -0.0475
27.30   0.1963  -0.2410  -0.0446
27.40   0.1992  -0.2408  -0.0418
27.50   0.2020  -0.2407  -0.0389
27.60   0.2046  -0.2405  -0.0359
27.70   0.2073  -0.2404  -0.0329
27.80   0.2100  -0.2399  -0.0299
27.90   0.2126  -0.2392  -0.0268
28.00   0.2150  -0.2386  -0.0235
28.10   0.2174  -0.2379  -0.0205
28.20   0.2196  -0.2370  -0.0174
28.30   0.2219  -0.2363  -0.0144
28.40   0.2240  -0.2353  -0.0113
28.50   0.2260  -0.2344  -0.0082
28.60   0.2281  -0.2334  -0.0053
28.70   0.2298  -0.2322  -0.0025
28.80   0.2317  -0.2312   0.0004
28.90   0.2335  -0.2303   0.0032
29.00   0.2353  -0.2291   0.0060
29.10   0.2371  -0.2281   0.0088
29.20   0.2384  -0.2268   0.0116
29.30   0.2395  -0.2256   0.0143
29.40   0.2410  -0.2244   0.0168
29.50   0.2424  -0.2232   0.0195
29.60   0.2434  -0.2219   0.0218
29.70   0.2446  -0.2206   0.0244
29.80   0.2460  -0.2193   0.0267
29.90   0.2471  -0.2181   0.0290
30.00   0.2480  -0.2167   0.0314
