     height (km) solar hr (K/day)    IR hr (K/day)   Net hr (K/day)
15.50   0.0665  -0.0209   0.0456
15.60   0.0587  -0.0190   0.0398
15.70   0.0525  -0.0182   0.0343
15.80   0.0470  -0.0167   0.0302
15.90   0.0412  -0.0150   0.0262
16.00   0.0364  -0.0131   0.0233
16.10   0.0321  -0.0129   0.0193
16.20   0.0282  -0.0140   0.0141
16.30   0.0252  -0.0168   0.0084
16.40   0.0218  -0.0192   0.0026
16.50   0.0181  -0.0207  -0.0025
16.60   0.0157  -0.0226  -0.0069
16.70   0.0130  -0.0251  -0.0119
16.80   0.0112  -0.0266  -0.0153
16.90   0.0101  -0.0281  -0.0180
17.00   0.0088  -0.0296  -0.0207
17.10   0.0077  -0.0311  -0.0234
17.20   0.0070  -0.0327  -0.0257
17.30   0.0063  -0.0336  -0.0273
17.40   0.0058  -0.0346  -0.0288
17.50   0.0056  -0.0360  -0.0305
17.60   0.0055  -0.0373  -0.0318
17.70   0.0053  -0.0382  -0.0328
17.80   0.0055  -0.0395  -0.0339
17.90   0.0058  -0.0407  -0.0350
18.00   0.0061  -0.0421  -0.0360
18.10   0.0065  -0.0434  -0.0370
18.20   0.0069  -0.0449  -0.0380
18.30   0.0073  -0.0465  -0.0392
18.40   0.0079  -0.0481  -0.0402
18.50   0.0083  -0.0497  -0.0414
18.60   0.0089  -0.0513  -0.0424
18.70   0.0093  -0.0524  -0.0431
18.80   0.0097  -0.0533  -0.0436
18.90   0.0100  -0.0540  -0.0439
19.00   0.0105  -0.0548  -0.0443
19.10   0.0109  -0.0556  -0.0448
19.20   0.0113  -0.0566  -0.0452
19.30   0.0119  -0.0575  -0.0456
19.40   0.0123  -0.0585  -0.0461
19.50   0.0130  -0.0596  -0.0466
19.60   0.0135  -0.0607  -0.0472
19.70   0.0143  -0.0620  -0.0478
19.80   0.0149  -0.0634  -0.0484
19.90   0.0157  -0.0648  -0.0491
20.00   0.0165  -0.0663  -0.0498
20.10   0.0173  -0.0678  -0.0505
20.20   0.0182  -0.0694  -0.0511
20.30   0.0191  -0.0710  -0.0518
20.40   0.0201  -0.0726  -0.0525
20.50   0.0212  -0.0743  -0.0531
20.60   0.0222  -0.0759  -0.0537
20.70   0.0231  -0.0771  -0.0540
20.80   0.0239  -0.0778  -0.0539
20.90   0.0247  -0.0785  -0.0538
21.00   0.0254  -0.0792  -0.0537
21.10   0.0263  -0.0798  -0.0535
21.20   0.0271  -0.0805  -0.0534
21.30   0.0280  -0.0812  -0.0533
21.40   0.0288  -0.0819  -0.0531
21.50   0.0298  -0.0827  -0.0529
21.60   0.0308  -0.0834  -0.0527
21.70   0.0318  -0.0842  -0.0525
21.80   0.0329  -0.0850  -0.0522
21.90   0.0339  -0.0858  -0.0519
22.00   0.0351  -0.0866  -0.0516
22.10   0.0362  -0.0874  -0.0511
22.20   0.0375  -0.0880  -0.0506
22.30   0.0388  -0.0887  -0.0500
22.40   0.0400  -0.0894  -0.0493
22.50   0.0413  -0.0901  -0.0487
22.60   0.0428  -0.0908  -0.0481
22.70   0.0441  -0.0915  -0.0474
22.80   0.0456  -0.0922  -0.0466
22.90   0.0471  -0.0929  -0.0458
23.00   0.0486  -0.0937  -0.0450
23.10   0.0502  -0.0943  -0.0442
23.20   0.0518  -0.0951  -0.0433
23.30   0.0534  -0.0958  -0.0424
23.40   0.0551  -0.0964  -0.0414
23.50   0.0568  -0.0972  -0.0404
23.60   0.0585  -0.0979  -0.0394
23.70   0.0602  -0.0985  -0.0383
23.80   0.0620  -0.0991  -0.0372
23.90   0.0637  -0.0998  -0.0360
24.00   0.0656  -0.1004  -0.0348
24.10   0.0674  -0.1009  -0.0336
24.20   0.0693  -0.1015  -0.0323
24.30   0.0711  -0.1020  -0.0310
24.40   0.0729  -0.1025  -0.0296
24.50   0.0748  -0.1030  -0.0282
24.60   0.0767  -0.1034  -0.0268
24.70   0.0784  -0.1038  -0.0253
24.80   0.0803  -0.1042  -0.0238
24.90   0.0822  -0.1044  -0.0223
25.00   0.0840  -0.1046  -0.0206
25.10   0.0858  -0.1046  -0.0188
25.20   0.0876  -0.1046  -0.0171
25.30   0.0893  -0.1046  -0.0153
25.40   0.0911  -0.1046  -0.0135
25.50   0.0928  -0.1046  -0.0117
25.60   0.0945  -0.1044  -0.0099
25.70   0.0962  -0.1043  -0.0081
25.80   0.0979  -0.1042  -0.0063
25.90   0.0995  -0.1040  -0.0045
26.00   0.1011  -0.1038  -0.0027
26.10   0.1026  -0.1035  -0.0009
26.20   0.1042  -0.1033   0.0009
26.30   0.1057  -0.1031   0.0026
26.40   0.1073  -0.1029   0.0044
26.50   0.1090  -0.1028   0.0063
26.60   0.1108  -0.1027   0.0081
26.70   0.1126  -0.1027   0.0099
26.80   0.1144  -0.1026   0.0117
26.90   0.1162  -0.1026   0.0136
27.00   0.1180  -0.1025   0.0154
27.10   0.1196  -0.1024   0.0172
27.20   0.1214  -0.1023   0.0191
27.30   0.1231  -0.1021   0.0208
27.40   0.1246  -0.1020   0.0227
27.50   0.1263  -0.1018   0.0244
27.60   0.1278  -0.1016   0.0262
27.70   0.1293  -0.1013   0.0279
27.80   0.1308  -0.1011   0.0297
27.90   0.1322  -0.1008   0.0314
28.00   0.1336  -0.1004   0.0332
28.10   0.1349  -0.1000   0.0349
28.20   0.1362  -0.0995   0.0366
28.30   0.1374  -0.0991   0.0383
28.40   0.1386  -0.0986   0.0400
28.50   0.1397  -0.0981   0.0416
28.60   0.1408  -0.0976   0.0432
28.70   0.1418  -0.0970   0.0447
28.80   0.1428  -0.0965   0.0462
28.90   0.1437  -0.0960   0.0477
29.00   0.1446  -0.0954   0.0491
29.10   0.1454  -0.0948   0.0505
29.20   0.1461  -0.0943   0.0519
29.30   0.1469  -0.0936   0.0532
29.40   0.1475  -0.0930   0.0545
29.50   0.1482  -0.0924   0.0558
29.60   0.1488  -0.0918   0.0569
29.70   0.1493  -0.0912   0.0581
29.80   0.1497  -0.0906   0.0591
29.90   0.1503  -0.0900   0.0602
30.00   0.1506  -0.0894   0.0613
