pressure (hPa)         ozone mixing ration (kg/kg)     
      113.798   9.0148776e-08
      115.325   8.5686734e-08
      116.873   8.2901206e-08
      118.442   8.0765287e-08
      120.032   7.8899611e-08
      121.643   7.7618696e-08
      123.275   7.5267075e-08
      124.930   7.4025184e-08
      126.607   7.2569613e-08
      128.306   7.0762152e-08
      130.029   6.9291441e-08
      131.774   6.7477993e-08
      133.543   6.6131126e-08
      135.335   6.5984813e-08
      137.152   6.5268181e-08
      138.993   6.3675952e-08
      140.858   6.2173553e-08
      142.749   5.9261160e-08
      144.665   5.7984773e-08
      146.607   5.6094016e-08
      148.575   5.4743486e-08
      150.569   5.3835707e-08
      152.590   5.1784348e-08
      154.638   5.0452295e-08
      156.714   4.8825805e-08
      158.817   4.7380622e-08
      160.949   4.6100100e-08
      163.110   4.4906275e-08
      165.299   4.3483376e-08
      167.518   4.2282656e-08
      169.766   4.1549431e-08
      172.045   4.0081899e-08
      174.354   3.9296148e-08
      176.694   3.8533593e-08
      179.066   3.8352486e-08
      181.470   3.8820842e-08
      183.905   3.8493520e-08
      186.374   3.8298393e-08
      188.876   3.7983420e-08
      191.411   3.8627140e-08
      193.980   3.8443699e-08
      196.584   3.8866796e-08
      199.222   3.8619903e-08
      201.896   3.8343514e-08
      204.606   3.8079891e-08
      207.353   3.7832577e-08
      210.136   3.8218564e-08
      212.957   3.8117868e-08
      215.815   3.8197413e-08
      218.712   3.8165161e-08
      221.647   3.8266201e-08
      224.623   3.8204827e-08
      227.638   3.8119153e-08
      230.693   3.7647920e-08
      233.790   3.7551754e-08
      236.928   3.7322957e-08
      240.108   3.7617003e-08
      243.331   3.8373536e-08
      246.597   3.8720849e-08
      249.907   3.8922823e-08
      253.261   3.8834194e-08
      256.661   3.8991054e-08
      260.106   3.9296723e-08
      263.597   3.9698180e-08
      267.135   4.0719656e-08
      270.721   4.0673918e-08
      274.355   4.0548860e-08
      278.037   4.0614595e-08
      281.769   4.0334911e-08
      285.551   4.0556434e-08
      289.384   4.0207271e-08
      293.268   3.9932976e-08
      297.205   4.0121023e-08
      301.194   4.0425573e-08
      305.237   4.0871420e-08
      309.334   4.1317268e-08
      313.486   4.1763115e-08
      317.694   4.2208979e-08
      321.958   4.2654826e-08
      326.280   4.3100674e-08
      330.659   4.3546521e-08
      335.098   4.3992369e-08
      339.596   4.4438216e-08
      344.154   4.4884064e-08
      348.773   4.5435891e-08
      353.455   4.5987717e-08
      358.199   4.6539544e-08
      363.007   4.7091371e-08
      367.879   4.7643198e-08
      372.817   4.8195024e-08
      377.822   4.8746851e-08
      382.893   4.9298678e-08
      388.032   4.9850505e-08
      393.241   5.0402330e-08
      398.519   5.0446659e-08
      403.868   5.0490989e-08
      409.289   5.0535318e-08
      414.783   5.0579647e-08
      420.350   5.0623977e-08
      425.993   5.0668306e-08
      431.711   5.0712635e-08
      437.505   5.0756965e-08
      443.378   5.0801294e-08
      449.329   5.0845623e-08
      455.360   5.0935215e-08
      461.472   5.1024807e-08
      467.667   5.1114403e-08
      473.944   5.1203995e-08
      480.305   5.1293587e-08
      486.752   5.1383179e-08
      493.286   5.1472771e-08
      499.907   5.1562363e-08
      506.617   5.1651955e-08
      513.417   5.1741546e-08
      520.309   5.1287290e-08
      527.293   5.0833035e-08
      534.370   5.0378779e-08
      541.543   4.9924524e-08
      548.812   4.9470269e-08
      556.178   4.9016013e-08
      563.644   4.8561758e-08
      571.209   4.8107502e-08
      578.876   4.7653247e-08
      586.646   4.7198991e-08
      594.521   4.6770973e-08
      602.501   4.6342955e-08
      610.588   4.5914936e-08
      618.783   4.5486918e-08
      627.089   4.5058899e-08
      635.506   4.4630881e-08
      644.036   4.4202863e-08
      652.681   4.3774844e-08
      661.442   4.3346826e-08
      670.320   4.2918808e-08
      679.318   4.2131906e-08
      688.436   4.1345003e-08
      697.676   4.0558100e-08
      707.041   3.9771197e-08
      716.531   3.8984295e-08
      726.149   3.8197392e-08
      735.896   3.7410489e-08
      745.773   3.6623586e-08
      755.784   3.5836684e-08
      765.928   3.5049781e-08
      776.209   3.4313073e-08
      786.628   3.3576365e-08
      797.187   3.2839630e-08
      807.887   3.2102922e-08
      818.731   3.1366214e-08
      829.721   3.0629506e-08
      840.857   2.9892798e-08
      852.144   2.9156090e-08
      863.582   2.8419382e-08
      875.174   2.7682674e-08
      886.921   2.7221336e-08
      898.825   2.6759999e-08
      910.890   2.6298662e-08
      923.117   2.5837325e-08
      935.507   2.5375988e-08
      948.064   2.4914651e-08
      960.790   2.4453314e-08
      973.686   2.3991977e-08
      986.755   2.3530640e-08
      1000.00   2.3069303e-08
