pressure (hPa)         ozone mixing ration (kg/kg)
      140.858  1.23373e-07
      142.749  1.22458e-07
      144.665  1.21269e-07
      146.607  1.20414e-07
      148.575  1.19526e-07
      150.569  1.18303e-07
      152.590  1.17366e-07
      154.638  1.16489e-07
      156.714  1.15671e-07
      158.817  1.14980e-07
      160.949  1.14265e-07
      163.110  1.13490e-07
      165.299  1.12741e-07
      167.518  1.12260e-07
      169.766  1.11416e-07
      172.045  1.10685e-07
      174.354  1.10091e-07
      176.694  1.09539e-07
      179.066  1.09074e-07
      181.470  1.08538e-07
      183.905  1.07996e-07
      186.374  1.07708e-07
      188.876  1.07207e-07
      191.411  1.06634e-07
      193.980  1.05702e-07
      196.584  1.05263e-07
      199.222  1.04594e-07
      201.896  1.04125e-07
      204.606  1.03628e-07
      207.353  1.03270e-07
      210.136  1.02632e-07
      212.957  1.02127e-07
      215.815  1.01909e-07
      218.712  1.01291e-07
      221.647  1.00667e-07
      224.623  1.00550e-07
      227.638  1.00069e-07
      230.693  9.99138e-08
      233.790  9.95677e-08
      236.928  9.94796e-08
      240.108  9.96361e-08
      243.331  9.96426e-08
      246.597  9.94103e-08
      249.907  9.91420e-08
      253.261  9.91482e-08
      256.661  9.92109e-08
      260.106  9.90057e-08
      263.597  9.89398e-08
      267.135  9.89137e-08
      270.721  9.87388e-08
      274.355  9.84979e-08
      278.037  9.82838e-08
      281.769  9.81222e-08
      285.551  9.78435e-08
      289.384  9.73946e-08
      293.268  9.72335e-08
      297.205  9.71460e-08
      301.194  9.69447e-08
      305.237  9.69973e-08
      309.334  9.70499e-08
      313.486  9.71025e-08
      317.694  9.71551e-08
      321.958  9.72077e-08
      326.280  9.72603e-08
      330.659  9.73128e-08
      335.098  9.73654e-08
      339.596  9.74180e-08
      344.154  9.74706e-08
      348.773  9.74947e-08
      353.455  9.75187e-08
      358.199  9.75427e-08
      363.007  9.75668e-08
      367.879  9.75908e-08
      372.817  9.76149e-08
      377.822  9.76389e-08
      382.893  9.76629e-08
      388.032  9.76870e-08
      393.241  9.77110e-08
      398.519  9.75717e-08
      403.868  9.74323e-08
      409.289  9.72930e-08
      414.783  9.71536e-08
      420.350  9.70143e-08
      425.993  9.68749e-08
      431.711  9.67356e-08
      437.505  9.65962e-08
      443.378  9.64569e-08
      449.329  9.63175e-08
      455.360  9.57291e-08
      461.472  9.51407e-08
      467.667  9.45523e-08
      473.944  9.39639e-08
      480.305  9.33755e-08
      486.752  9.27872e-08
      493.286  9.21988e-08
      499.907  9.16104e-08
      506.617  9.10220e-08
      513.417  9.04336e-08
      520.309  8.94907e-08
      527.293  8.85479e-08
      534.370  8.76050e-08
      541.543  8.66621e-08
      548.812  8.57192e-08
      556.178  8.47764e-08
      563.644  8.38335e-08
      571.209  8.28906e-08
      578.876  8.19477e-08
      586.646  8.10049e-08
      594.521  8.03691e-08
      602.501  7.97333e-08
      610.588  7.90975e-08
      618.783  7.84617e-08
      627.089  7.78259e-08
      635.506  7.71901e-08
      644.036  7.65543e-08
      652.681  7.59185e-08
      661.442  7.52827e-08
      670.320  7.46470e-08
      679.318  7.34460e-08
      688.436  7.22450e-08
      697.676  7.10440e-08
      707.041  6.98430e-08
      716.531  6.86420e-08
      726.149  6.74410e-08
      735.896  6.62400e-08
      745.773  6.50390e-08
      755.784  6.38380e-08
      765.928  6.26370e-08
      776.209  6.08800e-08
      786.628  5.91229e-08
      797.187  5.73658e-08
      807.887  5.56087e-08
      818.731  5.38516e-08
      829.721  5.20946e-08
      840.857  5.03375e-08
      852.144  4.85804e-08
      863.582  4.68234e-08
      875.174  4.50663e-08
      886.921  4.41861e-08
      898.825  4.33059e-08
      910.890  4.24257e-08
      923.117  4.15456e-08
      935.507  4.06654e-08
      948.064  3.97852e-08
      960.790  3.89050e-08
      973.686  3.80248e-08
      986.755  3.71446e-08
      1000.00  3.62644e-08
