pressure (hPa)         ozone mixing ration (kg/kg)    
      113.798   1.2853507e-07
      115.325   1.2582039e-07
      116.873   1.2280812e-07
      118.442   1.2017350e-07
      120.032   1.1667936e-07
      121.643   1.1496490e-07
      123.275   1.1223247e-07
      124.930   1.0816105e-07
      126.607   1.0448955e-07
      128.306   1.0147256e-07
      130.029   9.8529437e-08
      131.774   9.5317504e-08
      133.543   9.3074956e-08
      135.335   9.2072196e-08
      137.152   9.0774034e-08
      138.993   8.8395827e-08
      140.858   8.6693745e-08
      142.749   8.4208730e-08
      144.665   8.2753095e-08
      146.607   8.1446534e-08
      148.575   8.0918060e-08
      150.569   7.9391415e-08
      152.590   7.7327522e-08
      154.638   7.5509796e-08
      156.714   7.3751755e-08
      158.817   7.2459073e-08
      160.949   7.1631880e-08
      163.110   7.1797174e-08
      165.299   7.0509109e-08
      167.518   6.8299164e-08
      169.766   6.6180851e-08
      172.045   6.5459912e-08
      174.354   6.2556315e-08
      176.694   6.1661973e-08
      179.066   6.0341578e-08
      181.470   5.9686922e-08
      183.905   5.8316750e-08
      186.374   5.6771048e-08
      188.876   5.5272853e-08
      191.411   5.4253975e-08
      193.980   5.3558768e-08
      196.584   5.2905377e-08
      199.222   5.2181565e-08
      201.896   5.2040873e-08
      204.606   5.2040695e-08
      207.353   5.2080804e-08
      210.136   5.1954506e-08
      212.957   5.1587378e-08
      215.815   5.1129168e-08
      218.712   5.0518884e-08
      221.647   5.0001638e-08
      224.623   5.0228672e-08
      227.638   5.0183516e-08
      230.693   4.9617509e-08
      233.790   5.0092950e-08
      236.928   4.9946155e-08
      240.108   4.9750096e-08
      243.331   4.9644541e-08
      246.597   5.0099498e-08
      249.907   5.0441062e-08
      253.261   5.0538869e-08
      256.661   5.0684395e-08
      260.106   5.1070026e-08
      263.597   5.1434498e-08
      267.135   5.1971486e-08
      270.721   5.1806881e-08
      274.355   5.2075260e-08
      278.037   5.2362018e-08
      281.769   5.2220801e-08
      285.551   5.2246391e-08
      289.384   5.2618626e-08
      293.268   5.4123082e-08
      297.205   5.4861833e-08
      301.194   5.4858773e-08
      305.237   5.5065279e-08
      309.334   5.5271785e-08
      313.486   5.5478292e-08
      317.694   5.5684805e-08
      321.958   5.5891312e-08
      326.280   5.6097818e-08
      330.659   5.6304324e-08
      335.098   5.6510830e-08
      339.596   5.6717337e-08
      344.154   5.6923843e-08
      348.773   5.7126299e-08
      353.455   5.7328755e-08
      358.199   5.7531211e-08
