pressure (hPa)         ozone mixing ration (kg/kg)     
      113.798   1.3483005e-07
      115.325   1.3001584e-07
      116.873   1.2523626e-07
      118.442   1.2126338e-07
      120.032   1.1725438e-07
      121.643   1.1359973e-07
      123.275   1.0934981e-07
      124.930   1.0635214e-07
      126.607   1.0361102e-07
      128.306   1.0207762e-07
      130.029   1.0174512e-07
      131.774   9.8968278e-08
      133.543   9.6284798e-08
      135.335   9.4885023e-08
      137.152   9.2885811e-08
      138.993   9.1721392e-08
      140.858   9.0357468e-08
      142.749   9.0010620e-08
      144.665   8.8352738e-08
      146.607   8.7058266e-08
      148.575   8.5622793e-08
      150.569   8.2292272e-08
      152.590   7.9828228e-08
      154.638   7.8069184e-08
      156.714   7.4739302e-08
      158.817   7.4293058e-08
      160.949   7.2894971e-08
      163.110   7.2490307e-08
      165.299   7.3043864e-08
      167.518   7.2150321e-08
      169.766   7.3031277e-08
      172.045   7.3096609e-08
      174.354   7.2227140e-08
      176.694   7.3002787e-08
      179.066   7.2913579e-08
      181.470   7.3551722e-08
      183.905   7.4099588e-08
      186.374   7.4912026e-08
      188.876   7.5120965e-08
      191.411   7.6068248e-08
      193.980   7.5544527e-08
      196.584   7.5306265e-08
      199.222   7.3708920e-08
      201.896   7.2219884e-08
      204.606   7.1599120e-08
      207.353   7.0034437e-08
      210.136   6.8114583e-08
      212.957   6.7890456e-08
      215.815   6.8421239e-08
      218.712   6.8478602e-08
      221.647   6.8105481e-08
      224.623   6.7721546e-08
      227.638   6.6899744e-08
      230.693   6.7633564e-08
      233.790   6.7510519e-08
      236.928   6.7043487e-08
      240.108   6.7072868e-08
      243.331   6.6551132e-08
      246.597   6.6811180e-08
      249.907   6.6654643e-08
      253.261   6.6486930e-08
      256.661   6.6602721e-08
      260.106   6.6409781e-08
      263.597   6.7326306e-08
      267.135   6.7431743e-08
      270.721   6.7301566e-08
      274.355   6.7603646e-08
      278.037   6.7947754e-08
      281.769   7.0030654e-08
      285.551   7.0973251e-08
      289.384   7.0494743e-08
      293.268   7.0934606e-08
      297.205   7.1909223e-08
      301.194   7.2095869e-08
      305.237   7.2876105e-08
      309.334   7.3656342e-08
      313.486   7.4436579e-08
      317.694   7.5216843e-08
      321.958   7.5997080e-08
