pressure (hPa)         ozone mixing ration (kg/kg)
      140.858  9.36634e-08
      142.749  9.24429e-08
      144.665  9.13586e-08
      146.607  9.00321e-08
      148.575  8.86831e-08
      150.569  8.76561e-08
      152.590  8.65637e-08
      154.638  8.55852e-08
      156.714  8.44781e-08
      158.817  8.34345e-08
      160.949  8.22749e-08
      163.110  8.12706e-08
      165.299  8.03950e-08
      167.518  7.95737e-08
      169.766  7.88827e-08
      172.045  7.82763e-08
      174.354  7.78400e-08
      176.694  7.75026e-08
      179.066  7.73202e-08
      181.470  7.73410e-08
      183.905  7.66898e-08
      186.374  7.61627e-08
      188.876  7.54884e-08
      191.411  7.49895e-08
      193.980  7.45477e-08
      196.584  7.39807e-08
      199.222  7.35735e-08
      201.896  7.30994e-08
      204.606  7.27582e-08
      207.353  7.24513e-08
      210.136  7.21347e-08
      212.957  7.19884e-08
      215.815  7.17067e-08
      218.712  7.14158e-08
      221.647  7.10404e-08
      224.623  7.07595e-08
      227.638  7.03890e-08
      230.693  7.01127e-08
      233.790  6.99201e-08
      236.928  6.96997e-08
      240.108  6.92776e-08
      243.331  6.90974e-08
      246.597  6.89402e-08
      249.907  6.88569e-08
      253.261  6.89396e-08
      256.661  6.88210e-08
      260.106  6.87180e-08
      263.597  6.88111e-08
      267.135  6.90606e-08
      270.721  6.89577e-08
      274.355  6.90024e-08
      278.037  6.91561e-08
      281.769  6.93208e-08
      285.551  6.95560e-08
      289.384  6.93939e-08
      293.268  6.92974e-08
      297.205  6.95207e-08
      301.194  6.96616e-08
      305.237  6.97491e-08
      309.334  6.98367e-08
      313.486  6.99242e-08
      317.694  7.00118e-08
      321.958  7.00993e-08
      326.280  7.01869e-08
      330.659  7.02744e-08
      335.098  7.03620e-08
      339.596  7.04495e-08
      344.154  7.05371e-08
      348.773  7.05676e-08
      353.455  7.05981e-08
      358.199  7.06287e-08
      363.007  7.06592e-08
      367.879  7.06897e-08
      372.817  7.07203e-08
      377.822  7.07508e-08
      382.893  7.07813e-08
      388.032  7.08118e-08
      393.241  7.08424e-08
      398.519  7.07341e-08
      403.868  7.06259e-08
      409.289  7.05177e-08
      414.783  7.04094e-08
      420.350  7.03012e-08
      425.993  7.01930e-08
      431.711  7.00848e-08
      437.505  6.99765e-08
      443.378  6.98683e-08
      449.329  6.97601e-08
      455.360  6.94241e-08
      461.472  6.90882e-08
      467.667  6.87522e-08
      473.944  6.84163e-08
      480.305  6.80803e-08
      486.752  6.77444e-08
      493.286  6.74084e-08
      499.907  6.70725e-08
      506.617  6.67365e-08
      513.417  6.64006e-08
      520.309  6.58164e-08
      527.293  6.52322e-08
      534.370  6.46480e-08
      541.543  6.40637e-08
      548.812  6.34795e-08
      556.178  6.28953e-08
      563.644  6.23111e-08
      571.209  6.17269e-08
      578.876  6.11427e-08
      586.646  6.05585e-08
      594.521  5.98888e-08
      602.501  5.92192e-08
      610.588  5.85495e-08
      618.783  5.78798e-08
      627.089  5.72101e-08
      635.506  5.65404e-08
      644.036  5.58708e-08
      652.681  5.52011e-08
      661.442  5.45314e-08
      670.320  5.38617e-08
      679.318  5.30413e-08
      688.436  5.22208e-08
      697.676  5.14004e-08
      707.041  5.05799e-08
      716.531  4.97595e-08
      726.149  4.89391e-08
      735.896  4.81186e-08
      745.773  4.72982e-08
      755.784  4.64777e-08
      765.928  4.56573e-08
      776.209  4.46777e-08
      786.628  4.36981e-08
      797.187  4.27184e-08
      807.887  4.17388e-08
      818.731  4.07592e-08
      829.721  3.97796e-08
      840.857  3.88000e-08
      852.144  3.78204e-08
      863.582  3.68408e-08
      875.174  3.58612e-08
      886.921  3.50943e-08
      898.825  3.43275e-08
      910.890  3.35607e-08
      923.117  3.27938e-08
      935.507  3.20270e-08
      948.064  3.12602e-08
      960.790  3.04933e-08
      973.686  2.97265e-08
      986.755  2.89597e-08
      1000.00  2.81928e-08
