pressure (hPa)         ozone mixing ration (kg/kg)
      140.858  1.08159e-07
      142.749  1.06876e-07
      144.665  1.05667e-07
      146.607  1.04428e-07
      148.575  1.03315e-07
      150.569  1.02187e-07
      152.590  1.01078e-07
      154.638  1.00017e-07
      156.714  9.89634e-08
      158.817  9.79229e-08
      160.949  9.69056e-08
      163.110  9.59379e-08
      165.299  9.50898e-08
      167.518  9.43222e-08
      169.766  9.34935e-08
      172.045  9.27528e-08
      174.354  9.21553e-08
      176.694  9.15237e-08
      179.066  9.09173e-08
      181.470  9.04438e-08
      183.905  8.98648e-08
      186.374  8.93215e-08
      188.876  8.87645e-08
      191.411  8.81877e-08
      193.980  8.75201e-08
      196.584  8.69928e-08
      199.222  8.63751e-08
      201.896  8.59180e-08
      204.606  8.54856e-08
      207.353  8.51731e-08
      210.136  8.48175e-08
      212.957  8.45402e-08
      215.815  8.42101e-08
      218.712  8.38277e-08
      221.647  8.34751e-08
      224.623  8.33197e-08
      227.638  8.30151e-08
      230.693  8.28175e-08
      233.790  8.25449e-08
      236.928  8.22636e-08
      240.108  8.20029e-08
      243.331  8.18263e-08
      246.597  8.16940e-08
      249.907  8.15621e-08
      253.261  8.15427e-08
      256.661  8.15184e-08
      260.106  8.13660e-08
      263.597  8.13309e-08
      267.135  8.13166e-08
      270.721  8.11217e-08
      274.355  8.10053e-08
      278.037  8.09600e-08
      281.769  8.10466e-08
      285.551  8.10418e-08
      289.384  8.09268e-08
      293.268  8.09803e-08
      297.205  8.10390e-08
      301.194  8.09737e-08
      305.237  8.10559e-08
      309.334  8.11381e-08
      313.486  8.12203e-08
      317.694  8.13025e-08
      321.958  8.13846e-08
      326.280  8.14668e-08
      330.659  8.15490e-08
      335.098  8.16312e-08
      339.596  8.17134e-08
      344.154  8.17956e-08
      348.773  8.18030e-08
      353.455  8.18105e-08
      358.199  8.18180e-08
      363.007  8.18254e-08
      367.879  8.18329e-08
      372.817  8.18404e-08
      377.822  8.18479e-08
      382.893  8.18553e-08
      388.032  8.18628e-08
      393.241  8.18703e-08
      398.519  8.17546e-08
      403.868  8.16390e-08
      409.289  8.15233e-08
      414.783  8.14077e-08
      420.350  8.12920e-08
      425.993  8.11764e-08
      431.711  8.10607e-08
      437.505  8.09451e-08
      443.378  8.08294e-08
      449.329  8.07138e-08
      455.360  8.02448e-08
      461.472  7.97759e-08
      467.667  7.93069e-08
      473.944  7.88380e-08
      480.305  7.83690e-08
      486.752  7.79001e-08
      493.286  7.74311e-08
      499.907  7.69622e-08
      506.617  7.64932e-08
      513.417  7.60243e-08
      520.309  7.53238e-08
      527.293  7.46234e-08
      534.370  7.39229e-08
      541.543  7.32224e-08
      548.812  7.25220e-08
      556.178  7.18215e-08
      563.644  7.11211e-08
      571.209  7.04206e-08
      578.876  6.97201e-08
      586.646  6.90197e-08
      594.521  6.83245e-08
      602.501  6.76293e-08
      610.588  6.69342e-08
      618.783  6.62390e-08
      627.089  6.55438e-08
      635.506  6.48487e-08
      644.036  6.41535e-08
      652.681  6.34583e-08
      661.442  6.27631e-08
      670.320  6.20680e-08
      679.318  6.11156e-08
      688.436  6.01632e-08
      697.676  5.92108e-08
      707.041  5.82584e-08
      716.531  5.73060e-08
      726.149  5.63536e-08
      735.896  5.54012e-08
      745.773  5.44488e-08
      755.784  5.34964e-08
      765.928  5.25440e-08
      776.209  5.12960e-08
      786.628  5.00479e-08
      797.187  4.87999e-08
      807.887  4.75519e-08
      818.731  4.63038e-08
      829.721  4.50558e-08
      840.857  4.38078e-08
      852.144  4.25598e-08
      863.582  4.13117e-08
      875.174  4.00637e-08
      886.921  3.92512e-08
      898.825  3.84386e-08
      910.890  3.76261e-08
      923.117  3.68135e-08
      935.507  3.60010e-08
      948.064  3.51884e-08
      960.790  3.43759e-08
      973.686  3.35633e-08
      986.755  3.27508e-08
      1000.00  3.19383e-08
