pressure (hPa)         ozone mixing ration (kg/kg)
      140.858  1.14921e-07
      142.749  1.12992e-07
      144.665  1.11467e-07
      146.607  1.09879e-07
      148.575  1.08505e-07
      150.569  1.06998e-07
      152.590  1.05479e-07
      154.638  1.04085e-07
      156.714  1.02962e-07
      158.817  1.01654e-07
      160.949  1.00366e-07
      163.110  9.92587e-08
      165.299  9.82215e-08
      167.518  9.71244e-08
      169.766  9.59593e-08
      172.045  9.50045e-08
      174.354  9.39527e-08
      176.694  9.32364e-08
      179.066  9.22335e-08
      181.470  9.14682e-08
      183.905  9.08008e-08
      186.374  9.01364e-08
      188.876  8.93772e-08
      191.411  8.86667e-08
      193.980  8.78522e-08
      196.584  8.71433e-08
      199.222  8.64068e-08
      201.896  8.59002e-08
      204.606  8.54001e-08
      207.353  8.51392e-08
      210.136  8.47875e-08
      212.957  8.45408e-08
      215.815  8.41055e-08
      218.712  8.38130e-08
      221.647  8.36860e-08
      224.623  8.35813e-08
      227.638  8.34327e-08
      230.693  8.33658e-08
      233.790  8.30738e-08
      236.928  8.26563e-08
      240.108  8.23966e-08
      243.331  8.21040e-08
      246.597  8.20266e-08
      249.907  8.19608e-08
      253.261  8.18229e-08
      256.661  8.19100e-08
      260.106  8.18365e-08
      263.597  8.17071e-08
      267.135  8.15724e-08
      270.721  8.11672e-08
      274.355  8.08853e-08
      278.037  8.06981e-08
      281.769  8.08870e-08
      285.551  8.09614e-08
      289.384  8.10577e-08
      293.268  8.14108e-08
      297.205  8.15061e-08
      301.194  8.13005e-08
      305.237  8.13009e-08
      309.334  8.13012e-08
      313.486  8.13016e-08
      317.694  8.13020e-08
      321.958  8.13023e-08
      326.280  8.13027e-08
      330.659  8.13030e-08
      335.098  8.13034e-08
      339.596  8.13038e-08
      344.154  8.13041e-08
      348.773  8.12879e-08
      353.455  8.12717e-08
      358.199  8.12554e-08
      363.007  8.12392e-08
      367.879  8.12230e-08
      372.817  8.12067e-08
      377.822  8.11905e-08
      382.893  8.11743e-08
      388.032  8.11580e-08
      393.241  8.11418e-08
      398.519  8.10516e-08
      403.868  8.09614e-08
      409.289  8.08712e-08
      414.783  8.07810e-08
      420.350  8.06909e-08
      425.993  8.06007e-08
      431.711  8.05105e-08
      437.505  8.04203e-08
      443.378  8.03301e-08
      449.329  8.02399e-08
      455.360  7.98075e-08
      461.472  7.93751e-08
      467.667  7.89426e-08
      473.944  7.85102e-08
      480.305  7.80778e-08
      486.752  7.76454e-08
      493.286  7.72130e-08
      499.907  7.67805e-08
      506.617  7.63481e-08
      513.417  7.59157e-08
      520.309  7.53578e-08
      527.293  7.48000e-08
      534.370  7.42421e-08
      541.543  7.36842e-08
      548.812  7.31263e-08
      556.178  7.25685e-08
      563.644  7.20106e-08
      571.209  7.14527e-08
      578.876  7.08948e-08
      586.646  7.03370e-08
      594.521  6.95754e-08
      602.501  6.88139e-08
      610.588  6.80523e-08
      618.783  6.72908e-08
      627.089  6.65292e-08
      635.506  6.57677e-08
      644.036  6.50061e-08
      652.681  6.42446e-08
      661.442  6.34830e-08
      670.320  6.27215e-08
      679.318  6.18465e-08
      688.436  6.09715e-08
      697.676  6.00966e-08
      707.041  5.92216e-08
      716.531  5.83466e-08
      726.149  5.74716e-08
      735.896  5.65966e-08
      745.773  5.57217e-08
      755.784  5.48467e-08
      765.928  5.39717e-08
      776.209  5.28843e-08
      786.628  5.17968e-08
      797.187  5.07093e-08
      807.887  4.96219e-08
      818.731  4.85345e-08
      829.721  4.74470e-08
      840.857  4.63596e-08
      852.144  4.52722e-08
      863.582  4.41847e-08
      875.174  4.30973e-08
      886.921  4.24818e-08
      898.825  4.18664e-08
      910.890  4.12509e-08
      923.117  4.06355e-08
      935.507  4.00200e-08
      948.064  3.94046e-08
      960.790  3.87891e-08
      973.686  3.81737e-08
      986.755  3.75582e-08
      1000.00  3.69428e-08
